id,token,tag
0,Превратившаяся,O
1,в,O
2,непреложный,O
3,жизненный,O
4,долг,O
5,обязанность,O
6,личности,B-TERM
7,по,O
8,созданию,O
9,собственной,O
10,идентичности,B-TERM
11,есть,O
12,",",O
13,с,O
14,одной,O
15,стороны,O
16,",",O
17,ответ,O
18,на,O
19,вызовы,O
20,времени,O
21,и,O
22,попытка,O
23,обретения,O
24,стабильности,O
25,в,O
26,нестабильном,O
27,мире,O
28,",",O
29,с,O
30,другой,O
31,–,O
32,новая,O
33,форма,B-TERM
34,социального,I-TERM
35,контроля,I-TERM
36,и,O
37,средство,B-TERM
38,извлечения,I-TERM
39,прибыли,O
40,",",O
41,вызванные,O
42,к,O
43,жизни,O
44,логикой,B-TERM
45,развития,I-TERM
46,неолиберального,B-TERM
47,капитализма,I-TERM
48,.,O
