id,token,tag
0,Рассматриваются,
1,социально,B-TERM
2,-,I-TERM
3,психологические,I-TERM
4,факторы,I-TERM
5,переживания,I-TERM
6,кризиса,B-TERM
7,идентичности,I-TERM
8,в,
9,период,B-TERM
10,юношества,I-TERM
11,.,
12,Доказано,
13,",",
14,что,
15,в,
16,личностной,B-TERM
17,сфере,I-TERM
18,основным,
19,фактором,B-TERM
20,переживания,I-TERM
21,кризиса,B-TERM
22,идентичности,I-TERM
23,является,
24,негативное,B-TERM
25,самоотношение,I-TERM
26,;,
27,в,
28,деятельностной,
29,–,
30,отсутствие,
31,мотивации,B-TERM
32,обучения,
33,в,
34,высшем,B-TERM
35,учебном,I-TERM
36,заведении,I-TERM
37,;,
38,в,
39,социальной,B-TERM
40,сфере,I-TERM
41,–,
42,нарушение,
43,отношений,
44,с,
45,микросоциальным,B-TERM
46,окружением,I-TERM
47,.,
