id,token,tag
0,Рассматриваются,O
1,вопросы,O
2,",",O
3,связанные,O
4,с,O
5,самоидентификацией,B-TERM
6,в,O
7,Японии,O
8,–,O
9,стране,O
10,",",O
11,которая,O
12,благодаря,O
13,быстрой,O
14,модернизации,B-TERM
15,заняла,O
16,заметное,O
17,место,O
18,на,O
19,мировой,B-TERM
20,арене,I-TERM
21,.,O
22,Излагаются,O
23,особенности,O
24,Японии,O
25,",",O
26,связанные,O
27,со,O
28,становлением,B-TERM
29,личности,I-TERM
30,",",O
31,среди,O
32,которых,O
33,главной,O
34,является,O
35,ориентированность,B-TERM
36,на,I-TERM
37,группу,I-TERM
38,",",O
39,а,O
40,не,O
41,личность,B-TERM
42,в,O
43,традиционном,B-TERM
44,обществе,I-TERM
45,.,O
