id,token,tag
0,Рассматриваются,O
1,актуальные,O
2,проблемы,O
3,психотерапии,B-TERM
4,искусством,I-TERM
5,как,O
6,одного,O
7,из,O
8,направлений,B-TERM
9,современной,O
10,клинико,B-TERM
11,-,I-TERM
12,психологической,I-TERM
13,практики,I-TERM
14,.,O
15,Систематизируются,O
16,данные,O
17,современных,O
18,отечественных,O
19,и,O
20,зарубежных,O
21,исследований,O
22,специфики,O
23,воздействия,O
24,произведений,O
25,искусства,O
26,на,O
27,личность,B-TERM
28,.,O
29,Предпринята,O
30,попытка,O
31,осмысления,O
32,механизмов,O
33,психотерапевтического,B-TERM
34,влияния,I-TERM
35,искусства,I-TERM
36,на,O
37,человека,O
38,с,O
39,позиций,O
40,русской,B-TERM
41,философской,I-TERM
42,традиции,I-TERM
43,(,O
44,концепция,O
45,искусства,O
46,И,O
47,.,O
48,А,O
49,.,O
50,Ильина,O
51,),O
52,.,O
53,Показана,O
54,перспективность,O
55,психотерапии,B-TERM
56,созерцанием,O
57,образцов,O
58,классического,O
59,искусства,O
60,.,O
61,Раскрываются,O
62,возможности,O
63,использования,O
64,художественных,B-TERM
65,произведений,I-TERM
66,как,O
67,источников,O
68,«,O
69,живого,O
70,»,O
71,психологического,B-TERM
72,знания,I-TERM
73,",",O
74,средств,B-TERM
75,самопознания,I-TERM
76,и,O
77,развития,O
78,значимых,O
79,в,O
80,профессиональном,O
81,плане,O
82,личностных,B-TERM
83,качеств,I-TERM
84,в,O
85,процессе,O
86,подготовки,O
87,специалистов,O
88,-,O
89,психологов,O
90,.,O
