id,token,tag
0,Исходя,O
1,из,O
2,антропоцентрической,B-TERM
3,картины,I-TERM
4,мира,I-TERM
5,",",O
6,трихотомии,B-TERM
7,К,I-TERM
8,.,I-TERM
9,Поппера,I-TERM
10,",",O
11,представления,O
12,природы,O
13,",",O
14,общества,O
15,",",O
16,человека,O
17,и,O
18,психологии,B-TERM
19,(,O
20,науки,B-TERM
21,",",O
22,прикладной,B-TERM
23,дисциплины,I-TERM
24,и,O
25,социального,B-TERM
26,института,I-TERM
27,),O
28,как,O
29,открытых,B-TERM
30,саморазвивающихся,I-TERM
31,человекоразмерных,I-TERM
32,систем,I-TERM
33,",",O
34,развивающихся,O
35,и,O
36,становящихся,O
37,в,O
38,современном,O
39,мире,O
40,под,O
41,влиянием,O
42,конвергентных,B-TERM
43,технологий,I-TERM
44,",",O
45,предложен,O
46,ряд,O
47,взаимосвязанных,O
48,моделей,B-TERM
49,",",O
50,позволяющих,O
51,качественно,O
52,и,O
53,количественно,O
54,оценить,O
55,их,O
56,коэволюцию,B-TERM
57,по,O
58,Н,O
59,.,O
60,Н,O
61,.,O
62,Моисееву,O
63,.,O
