id,token,tag
0,При,O
1,детонации,B-TERM
2,взрывчатых,I-TERM
3,веществ,I-TERM
4,с,O
5,отрицательным,O
6,кислородным,B-TERM
7,балансом,I-TERM
8,",",O
9,одним,O
10,из,O
11,продуктов,B-TERM
12,химической,B-TERM
13,реакции,I-TERM
14,является,O
15,конденсированный,B-TERM
16,углерод,I-TERM
17,.,O
18,Однако,O
19,недостаток,O
20,экспериментальных,B-TERM
21,данных,I-TERM
22,не,O
23,позволяет,O
24,на,O
25,сегодняшний,O
26,день,O
27,дать,O
28,количественную,B-TERM
29,оценку,I-TERM
30,процесса,B-TERM
31,конденсации,I-TERM
32,углерода,I-TERM
33,.,O
34,В,O
35,данной,O
36,работе,O
37,предложена,O
38,двухстадийная,B-TERM
39,модель,I-TERM
40,конденсации,I-TERM
41,углерода,I-TERM
42,при,O
43,детонации,B-TERM
44,взрывчатых,I-TERM
45,веществ,I-TERM
46,.,O
47,В,O
48,работе,O
49,использовалась,O
50,методика,B-TERM
51,мало,I-TERM
52,углового,I-TERM
53,рентгеновского,I-TERM
54,рассеяния,I-TERM
55,для,O
56,изучения,O
57,динамики,B-TERM
58,формирования,I-TERM
59,углеродных,B-TERM
60,наночастиц,I-TERM
61,при,O
62,детонации,B-TERM
63,зарядов,B-TERM
64,смеси,O
65,тротила,B-TERM
66,с,O
67,гексогеном,B-TERM
68,.,O
