id,token,tag
0,Проведено,O
1,исследование,O
2,влияния,O
3,распределенного,B-TERM
4,вдува,I-TERM
5,газа,I-TERM
6,с,O
7,большой,O
8,теплоемкостью,B-TERM
9,в,O
10,сверхзвуковой,B-TERM
11,пограничный,I-TERM
12,слой,I-TERM
13,на,O
14,его,O
15,устойчивость,B-TERM
16,к,I-TERM
17,искусственным,I-TERM
18,возмущениям,I-TERM
19,.,O
20,Показано,O
21,",",O
22,что,O
23,вдув,B-TERM
24,газа,I-TERM
25,с,O
26,большой,O
27,теплоемкостью,B-TERM
28,Cp,O
29,при,O
30,некоторых,O
31,значениях,O
32,расхода,O
33,может,O
34,приводить,O
35,к,O
36,стабилизации,O
37,сверхзвукового,B-TERM
38,пограничного,I-TERM
39,слоя,I-TERM
40,.,O
