id,token,tag
0,В,O
1,ИЯФ,B-TERM
2,СО,I-TERM
3,РАН,I-TERM
4,совместно,O
5,с,O
6,РФЯЦ,B-TERM
7,ВНИИТФ,I-TERM
8,ведутся,O
9,исследования,O
10,",",O
11,направленные,O
12,на,O
13,получение,O
14,в,O
15,линейном,B-TERM
16,индукционном,I-TERM
17,ускорителе,I-TERM
18,(,O
19,ЛИУ,B-TERM
20,),O
21,пучка,B-TERM
22,релятивистских,I-TERM
23,электронов,I-TERM
24,с,O
25,энергией,B-TERM
26,до,O
27,20,O
28,МэВ,B-TERM
29,",",O
30,током,B-TERM
31,до,O
32,2,O
33,кА,B-TERM
34,и,O
35,длительностью,B-TERM
36,до,O
37,200,O
38,нс,B-TERM
39,при,O
40,нормализованном,O
41,эмиттансе,B-TERM
42,около,O
43,1000,O
44,π,B-TERM
45,⋅,O
46,мм,B-TERM
47,⋅,O
48,мрад,B-TERM
49,.,O
50,Генерация,O
51,электронных,B-TERM
52,пучков,I-TERM
53,с,O
54,такими,O
55,параметрами,O
56,требует,O
57,тщательного,O
58,исследования,O
59,всех,O
60,основных,O
61,источников,B-TERM
62,возмущений,I-TERM
63,траекторий,B-TERM
64,электронов,B-TERM
65,пучка,O
66,",",O
67,создаваемых,O
68,различного,O
69,рода,O
70,неустойчивостями,B-TERM
71,",",O
72,возникающими,O
73,при,O
74,транспортировке,O
75,и,O
76,ускорении,B-TERM
77,сильноточного,I-TERM
78,пучка,I-TERM
79,в,O
80,ускорительной,B-TERM
81,структуре,I-TERM
82,ЛИУ,B-TERM
83,.,O
84,Для,O
85,проведения,O
86,экспериментальной,O
87,серии,O
88,по,O
89,измерению,O
90,динамики,O
91,поперечных,B-TERM
92,колебаний,I-TERM
93,пучка,B-TERM
94,был,O
95,использован,O
96,набор,O
97,быстрых,B-TERM
98,трансформаторов,I-TERM
99,тока,I-TERM
100,",",O
101,применяемых,O
102,для,O
103,регистрации,B-TERM
104,тока,I-TERM
105,пучка,I-TERM
106,и,O
107,полей,B-TERM
108,мод,I-TERM
109,",",O
110,возбуждаемых,O
111,этим,O
112,пучком,B-TERM
113,в,O
114,структуре,B-TERM
115,.,O
116,Данные,O
117,измерения,O
118,проведены,O
119,при,O
120,прохождении,O
121,в,O
122,структуре,B-TERM
123,пучка,B-TERM
124,электронов,I-TERM
125,с,O
126,энергией,B-TERM
127,8,O
128,",",O
129,5,O
130,МэВ,B-TERM
131,и,O
132,током,B-TERM
133,1,O
134,кА,B-TERM
135,в,O
136,различных,O
137,режимах,O
138,по,O
139,величине,O
140,фокусирующих,B-TERM
141,магнитных,I-TERM
142,полей,I-TERM
143,в,O
144,ЛИУ,B-TERM
145,.,O
146,В,O
147,результате,O
148,проведенных,O
149,измерений,O
150,были,O
151,зарегистрированы,O
152,колебания,B-TERM
153,электромагнитного,B-TERM
154,поля,I-TERM
155,собственных,I-TERM
156,мод,I-TERM
157,в,O
158,ускорительных,B-TERM
159,модулях,I-TERM
160,ЛИУ,B-TERM
161,",",O
162,и,O
163,была,O
164,установлена,O
165,зависимость,O
166,амплитуды,B-TERM
167,колебаний,I-TERM
168,ЭМ,B-TERM
169,-,I-TERM
170,поля,I-TERM
171,этих,O
172,мод,B-TERM
173,от,O
174,номера,O
175,ускорительного,B-TERM
176,модуля,I-TERM
177,.,O
178,Эта,O
179,зависимость,O
180,была,O
181,сопоставлена,O
182,с,O
183,результатом,O
184,моделирования,O
185,динамики,O
186,развития,O
187,поперечной,B-TERM
188,неустойчивости,I-TERM
189,в,O
190,ЛИУ,B-TERM
191,",",O
192,которое,O
193,проведено,O
194,с,O
195,использованием,O
196,созданного,O
197,программного,O
198,комплекса,O
199,",",O
200,что,O
201,в,O
202,итоге,O
203,позволило,O
204,определить,O
205,величину,O
206,инкремента,B-TERM
207,поперечной,B-TERM
208,неустойчивости,I-TERM
209,релятивистского,B-TERM
210,электронного,I-TERM
211,пучка,I-TERM
212,в,O
213,данных,O
214,экспериментальных,O
215,условиях,O
216,.,O
217,Исходя,O
218,из,O
219,полученных,O
220,результатов,O
221,проведен,O
222,анализ,O
223,возможности,O
224,использования,O
225,пучка,B-TERM
226,",",O
227,генерируемого,O
228,ЛИУ,B-TERM
229,",",O
230,в,O
231,качестве,O
232,драйвера,B-TERM
233,ЛСЭ,I-TERM
234,-,O
235,генератора,B-TERM
236,когерентных,I-TERM
237,импульсов,I-TERM
238,ТГц,I-TERM
239,-,I-TERM
240,излучения,I-TERM
241,в,O
242,диапазоне,B-TERM
243,частот,I-TERM
244,0,O
245,",",O
246,3,O
247,–,O
248,1,O
249,",",O
250,2,O
251,ТГц,B-TERM
252,с,O
253,субгигаваттным,B-TERM
254,уровнем,I-TERM
255,мощности,I-TERM
256,.,O
