id,token,tag
0,Статья,O
1,рассказывает,O
2,о,O
3,60,O
4,-,O
5,летней,O
6,истории,O
7,создания,O
8,набора,O
9,базовых,O
10,лекционных,B-TERM
11,демонстраций,I-TERM
12,на,O
13,физическом,O
14,факультете,O
15,Новосибирского,O
16,Государственного,O
17,университета,O
18,и,O
19,подразделения,O
20,его,O
21,поддерживающего,O
22,–,O
23,с,O
24,момента,O
25,возникновения,O
26,университета,O
27,.,O
28,Рассматривается,O
29,эволюция,O
30,набора,O
31,демонстрационных,B-TERM
32,установок,I-TERM
33,",",O
34,методических,O
35,описаний,O
36,и,O
37,методик,O
38,использования,O
39,оборудования,B-TERM
40,в,O
41,процессе,O
42,преподавания,O
43,физики,B-TERM
44,в,O
45,различных,O
46,ситуациях,O
47,.,O
48,Рассказывается,O
49,о,O
50,людях,O
51,",",O
52,внесших,O
53,большой,O
54,вклад,O
55,на,O
56,разных,O
57,стадиях,O
58,преобразования,O
59,ДКФ,B-TERM
60,–,O
61,демонстрационного,B-TERM
62,кабинета,I-TERM
63,по,I-TERM
64,физике,I-TERM
65,и,O
66,МЛДКС,B-TERM
67,–,O
68,межфакультетской,B-TERM
69,лаборатории,I-TERM
70,демонстраций,I-TERM
71,и,I-TERM
72,компьютерного,I-TERM
73,сопровождения,I-TERM
74,.,O
75,Приводятся,O
76,библиографические,B-TERM
77,ссылки,I-TERM
78,на,O
79,каталоги,B-TERM
80,с,O
81,методическими,O
82,описаниями,O
83,лекционных,B-TERM
84,демонстраций,I-TERM
85,",",O
86,разработанных,O
87,и,O
88,созданных,O
89,в,O
90,НГУ,O
91,.,O
