id,token,tag
0,В,O
1,статье,O
2,представлена,O
3,кафедра,B-TERM
4,высшей,B-TERM
5,математики,I-TERM
6,физического,O
7,факультета,O
8,Новосибирского,O
9,государственного,O
10,университета,O
11,.,O
12,Рассказывается,O
13,об,O
14,истории,O
15,создания,O
16,кафедры,B-TERM
17,",",O
18,ее,O
19,традициях,O
20,и,O
21,методах,O
22,",",O
23,которые,O
24,используют,O
25,ее,O
26,преподаватели,O
27,.,O
28,Читатель,O
29,также,O
30,узнает,O
31,некоторые,O
32,основные,O
33,сведения,O
34,о,O
35,коллективе,O
36,кафедры,B-TERM
37,и,O
38,особенностях,O
39,преподаваемых,O
40,курсов,O
41,.,O
