id,token,tag,wiki_id
0,В,O,
1,последние,O,
2,годы,O,
3,стремительно,O,
4,растет,O,
5,околонаучный,O,
6,бизнес,O,
7,",",O,
8,который,O,
9,включает,O,
10,в,O,
11,себя,O,
12,конвейеры,O,
13,по,O,
14,производству,O,
15,дипломов,O,
16,и,O,
17,ученых,O,
18,степеней,O,
19,",",O,
20,мошеннические,O,
21,«,O,
22,научные,O,
23,»,O,
24,издания,O,
25,(,O,
26,журналы,O,
27,-,O,
28,хищники,O,
29,),O,
30,",",O,
31,псевдонаучные,O,
32,мероприятия,O,
33,.,O,
34,В,O,
35,сети,O,
36,недобросовестных,O,
37,бизнесменов,O,
38,от,O,
39,науки,O,
40,в,O,
41,основном,O,
42,попадают,O,
43,ученые,O,
44,из,O,
45,развивающихся,O,
46,стран,O,
47,и,O,
48,некоторых,O,
49,бывших,O,
50,республик,O,
51,СССР,O,
52,.,O,
53,В,O,
54,статье,O,
55,проводится,O,
56,анализ,O,
57,современного,O,
58,состояния,O,
59,недобросовестного,O,
60,сегмента,O,
61,науки,O,
62,.,O,
