id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,предлагается,O,
3,решение,O,
4,проблем,O,
5,обработки,O,
6,нечетко,B-TERM,
7,-,I-TERM,
8,темпоральных,I-TERM,
9,данных,I-TERM,
10,телекоммуникационных,B-TERM,Q1068715
11,сетей,I-TERM,
12,",",O,
13,необходимых,O,
14,для,O,
15,выявления,O,
16,и,O,
17,прогнозирования,B-TERM,Q7216332
18,тенденций,O,
19,дальнейшего,O,
20,поведения,O,
21,абонентов,B-TERM,Q10638511
22,.,O,
23,На,O,
24,основе,O,
25,разработанной,O,
26,библиотеки,B-TERM,Q188860
27,алгоритмов,I-TERM,
28,модели,B-TERM,
29,обработки,I-TERM,
30,нечетко,B-TERM,
31,-,I-TERM,
32,темпоральных,I-TERM,
33,отношений,I-TERM,
34,между,O,
35,временными,B-TERM,Q186408
36,точками,I-TERM,
37,и,O,
38,/,O,
39,или,O,
40,интервалами,B-TERM,Q12379015
41,был,O,
42,реализован,O,
43,инструментарий,O,
44,",",O,
45,позволяющий,O,
46,обрабатывать,O,
47,и,O,
48,визуализировать,O,
49,нечетко,B-TERM,
50,-,I-TERM,
51,темпоральные,I-TERM,
52,данные,I-TERM,
53,в,O,
54,аналитических,B-TERM,
55,системах,I-TERM,
56,операторов,B-TERM,Q1266169
57,связи,I-TERM,
58,.,O,
59,Представлены,O,
60,результаты,O,
61,внедрения,O,
62,модуля,B-TERM,Q11883090
63,возможностно,B-TERM,
64,-,I-TERM,
65,темпоральной,I-TERM,
66,модели,I-TERM,
67,при,O,
68,реализации,O,
69,коммерческого,O,
70,проекта,O,
71,аналитической,B-TERM,
72,системы,I-TERM,
73,для,O,
74,телекоммуникационной,B-TERM,Q2401749
75,компании,I-TERM,
76,.,O,
