id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,задача,B-TERM,Q1744628
4,классификации,I-TERM,
5,данных,I-TERM,
6,в,O,
7,образовательной,O,
8,сфере,O,
9,в,O,
10,контексте,O,
11,предсказания,O,
12,успешности,O,
13,прохождения,O,
14,итоговой,O,
15,государственной,O,
16,аттестации,O,
17,выпускниками,O,
18,средней,O,
19,школы,O,
20,.,O,
21,Такие,O,
22,данные,B-TERM,Q42848
23,могут,O,
24,быть,O,
25,несбалансированными,O,
26,.,O,
27,Для,O,
28,решения,O,
29,этой,O,
30,задачи,B-TERM,Q1744628
31,классификации,I-TERM,
32,использовать,O,
33,SVM,B-TERM,Q282453
34,-,I-TERM,
35,классификаторы,I-TERM,
36,на,O,
37,основе,O,
38,модифицированного,O,
39,PSO,B-TERM,Q2072794
40,-,I-TERM,
41,алгоритма,I-TERM,
42,",",O,
43,реализующего,O,
44,одновременный,O,
45,поиск,B-TERM,
46,типа,I-TERM,
47,функции,I-TERM,
48,ядра,I-TERM,
49,",",O,
50,значений,B-TERM,
51,параметров,I-TERM,
52,функции,I-TERM,
53,ядра,I-TERM,
54,и,O,
55,значения,B-TERM,
56,параметра,I-TERM,
57,регуляризации,I-TERM,
58,.,O,
59,Для,O,
60,восстановления,O,
61,баланса,O,
62,классов,O,
63,предлагается,O,
64,применять,O,
65,стратегии,O,
66,сэмплинга,B-TERM,
67,на,O,
68,основе,O,
69,SMOTE,B-TERM,
70,-,I-TERM,
71,алгоритма,I-TERM,
72,.,O,
73,Анализ,O,
74,результатов,O,
75,классификации,B-TERM,
76,с,O,
77,использованием,O,
78,SVM,B-TERM,Q282453
79,-,I-TERM,
80,классификаторов,I-TERM,
81,на,O,
82,основе,O,
83,модифицированного,O,
84,PSO,B-TERM,Q2072794
85,-,I-TERM,
86,алгоритма,I-TERM,
87,и,O,
88,стратегий,O,
89,сэмплинга,B-TERM,
90,и,O,
91,результатов,O,
92,",",O,
93,полученных,O,
94,в,O,
95,статистических,O,
96,пакетах,O,
97,программ,O,
98,",",O,
99,свидетельствует,O,
100,о,O,
101,целесообразности,O,
102,применения,O,
103,предлагаемого,O,
104,инструментария,O,
105,к,O,
106,решению,O,
107,задачи,B-TERM,Q1744628
108,классификации,I-TERM,
109,данных,I-TERM,
110,в,O,
111,образовательной,O,
112,сфере,O,
113,.,O,
