id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассказано,O,
3,",",O,
4,какие,O,
5,известные,O,
6,и,O,
7,еще,O,
8,неизвестные,O,
9,плоские,B-TERM,Q1060874
10,кривые,I-TERM,
11,могут,O,
12,украшать,O,
13,фарфоровую,O,
14,посуду,O,
15,.,O,
16,Обсуждаются,O,
17,возможности,O,
18,вычислительной,B-TERM,Q179310
19,техники,I-TERM,
20,в,O,
21,плане,O,
22,генерации,O,
23,новых,O,
24,плоских,B-TERM,Q1060874
25,кривых,I-TERM,
26,.,O,
27,Вводится,O,
28,понятие,O,
29,гибрида,O,
30,фокуса,B-TERM,Q3568
31,и,O,
32,директрисы,B-TERM,Q78150439
33,.,O,
