id,token,tag,wiki_id
0,Приведены,O,
1,результаты,O,
2,сравнительного,B-TERM,
3,анализа,I-TERM,
4,общих,,
5,черт,,
6,резидентных,B-TERM,
7,и,,
8,нерезидентных,B-TERM,
9,вирусов,I-TERM,
10,с,O,
11,точки,O,
12,зрения,O,
13,языка,B-TERM,Q165436
14,программирования,I-TERM,
15,Assembler,I-TERM,
16,.,O,
17,Кроме,O,
18,того,O,
19,",",O,
20,всесторонне,O,
21,проанализированы,O,
22,методы,B-TERM,Q1799072
23,противодействия,I-TERM,
24,изучению,O,
25,следов,O,
26,вредоносного,B-TERM,Q14001
27,программного,I-TERM,
28,кода,I-TERM,
29,в,O,
30,дампах,B-TERM,Q1265166
31,оперативной,I-TERM,
32,памяти,I-TERM,
33,.,O,
34,На,O,
35,основе,O,
36,результатов,O,
37,проведенных,O,
38,исследований,O,
39,в,O,
40,работе,O,
41,также,O,
42,выполнен,O,
43,анализ,O,
44,обнаруженного,O,
45,вредоносного,B-TERM,Q14001
46,программного,I-TERM,
47,обеспечения,I-TERM,
48,и,O,
49,изучение,O,
50,оставленных,O,
51,им,O,
52,следов,O,
53,",",O,
54,а,O,
55,также,O,
56,даны,O,
57,рекомендации,O,
58,",",O,
59,которые,O,
60,позволят,O,
61,существенно,O,
62,сократить,O,
63,время,O,
64,специалиста,O,
65,при,O,
66,проведении,O,
67,подобных,O,
68,мероприятий,O,
69,.,O,
