id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,на,O,
3,примере,O,
4,решений,O,
5,задач,O,
6,из,O,
7,научно,O,
8,-,O,
9,фантастического,O,
10,романа,O,
11,показана,O,
12,работа,O,
13,встроенных,B-TERM,
14,операторов,I-TERM,
15,и,O,
16,функций,B-TERM,Q15810910
17,математических,B-TERM,Q1133580
18,пакетов,I-TERM,
19,Mathcad,I-TERM,
20,и,O,
21,Maple,B-TERM,Q139380
22,.,O,
23,Описана,O,
24,символьная,B-TERM,
25,и,O,
26,численная,B-TERM,
27,математика,I-TERM,
28,",",O,
29,плоская,B-TERM,
30,и,O,
31,объемная,B-TERM,
32,графика,I-TERM,
33,",",O,
34,анимация,B-TERM,Q11425
35,",",O,
36,оптимизация,B-TERM,Q141495
37,",",O,
38,решение,O,
39,алгебраических,B-TERM,Q50698
40,и,O,
41,дифференциальных,B-TERM,Q11214
42,уравнений,I-TERM,
43,и,O,
44,их,O,
45,систем,B-TERM,
46,",",O,
47,программирование,B-TERM,Q80006
48,",",O,
49,работа,O,
50,с,O,
51,физическими,B-TERM,Q107715
52,величинами,I-TERM,
53,",",O,
54,ссылка,O,
55,на,O,
56,облачные,B-TERM,
57,функции,I-TERM,
58,и,O,
59,др,O,
60,.,O,
61,Показано,O,
62,",",O,
63,как,O,
64,на,O,
65,примере,O,
66,решения,O,
67,задач,O,
68,можно,O,
69,вести,O,
70,учебный,B-TERM,
71,процесс,I-TERM,
72,в,O,
73,школе,O,
74,и,O,
75,вузе,O,
76,",",O,
77,опираясь,O,
78,на,O,
79,современную,O,
80,образовательную,B-TERM,
81,технологию,I-TERM,
82,под,O,
83,названием,O,
84,STEM,B-TERM,Q108107660
85,Education,I-TERM,
86,(,O,
87,Science,B-TERM,Q1881523
88,",",I-TERM,
89,Technology,I-TERM,
90,",",I-TERM,
91,Engineering,I-TERM,
92,и,I-TERM,
93,Mathematic,I-TERM,
94,),O,
95,",",O,
96,когда,O,
97,на,O,
98,одном,O,
99,занятии,O,
100,затрагиваются,O,
101,разные,O,
102,учебные,B-TERM,Q11862829
103,дисциплины,I-TERM,
104,—,O,
105,литература,B-TERM,Q8242
106,",",O,
107,изобразительное,B-TERM,Q42314818
108,искусство,I-TERM,
109,",",O,
110,история,B-TERM,
111,",",O,
112,математика,B-TERM,Q30897166
113,",",O,
114,информатика,B-TERM,Q16387
115,",",O,
116,физика,B-TERM,Q1051198
117,",",O,
118,инженерное,B-TERM,Q11023
119,дело,I-TERM,
120,",",O,
121,инженерная,B-TERM,Q192521
122,графика,I-TERM,
123,",",O,
124,статистика,B-TERM,Q12483
125,",",O,
126,политология,B-TERM,Q36442
127,и,O,
128,даже,O,
129,теология,B-TERM,Q7782252
130,(,O,
131,религиоведение,B-TERM,Q34187
132,),O,
133,.,O,
134,Найдена,O,
135,и,O,
136,проанализирована,O,
137,одна,O,
138,типичная,O,
139,ошибка,O,
140,символьной,B-TERM,
141,математики,I-TERM,
142,пакетов,B-TERM,Q1133580
143,Mathcad,I-TERM,
144,",",O,
145,Maple,B-TERM,Q139380
146,и,O,
147,Mathematica,B-TERM,Q15241057
148,.,O,
149,На,O,
150,примере,O,
151,использования,O,
152,метода,B-TERM,Q74304
153,наименьших,I-TERM,
154,квадратов,I-TERM,
155,поднята,O,
156,и,O,
157,проанализирована,O,
158,одна,O,
159,нерешенная,O,
160,проблема,O,
161,теории,B-TERM,
162,размерных,I-TERM,
163,величин,I-TERM,
164,.,O,
