id,token,tag,wiki_id
0,В,O,
1,работе,O,
2,предлагается,O,
3,алгоритм,B-TERM,
4,построения,I-TERM,
5,специальной,I-TERM,
6,иерархической,I-TERM,
7,структуры,I-TERM,
8,представления,I-TERM,
9,данных,I-TERM,
10,КТ,I-TERM,
11,-,O,
12,или,O,
13,МРТ,B-TERM,Q161238
14,-,O,
15,сканирования,B-TERM,Q11873863
16,для,O,
17,искусственных,B-TERM,
18,или,O,
19,нативных,B-TERM,
20,сред,I-TERM,
21,со,O,
22,множеством,O,
23,сложных,O,
24,внутренних,B-TERM,
25,границ,I-TERM,
26,.,O,
27,Выполняется,O,
28,конвертация,B-TERM,
29,стека,I-TERM,
30,послойных,I-TERM,
31,изображений,I-TERM,
32,в,O,
33,градациях,B-TERM,Q3958716
34,серого,I-TERM,
35,в,O,
36,сеточное,B-TERM,
37,разбиение,I-TERM,
38,",",O,
39,состоящее,O,
40,на,O,
41,верхнем,O,
42,уровне,O,
43,иерархии,O,
44,из,O,
45,полиэдральных,B-TERM,
46,(,O,
47,полигональных,B-TERM,
48,для,O,
49,2D,O,
50,случаев,O,
51,),O,
52,макроэлементов,B-TERM,
53,",",O,
54,а,O,
55,на,O,
56,микроуровне,O,
57,—,O,
58,из,O,
59,тетраэдров,B-TERM,Q160003
60,(,O,
61,треугольников,B-TERM,Q19821
62,для,O,
63,2D,O,
64,),O,
65,.,O,
66,Полученные,O,
67,разбиения,B-TERM,
68,ориентированы,O,
69,на,O,
70,приложение,O,
71,в,O,
72,конечноэлементном,B-TERM,
73,многомасштабном,I-TERM,
74,моделировании,I-TERM,
75,и,O,
76,могут,O,
77,быть,O,
78,применены,O,
79,для,O,
80,решения,O,
81,широкого,O,
82,круга,O,
83,многофизичных,B-TERM,
84,задач,I-TERM,
85,.,O,
