id,token,tag,wiki_id
0,Представлен,O,
1,обзор,O,
2,аналитических,B-TERM,Q175515
3,и,O,
4,численных,B-TERM,Q24262840
5,методов,I-TERM,
6,для,O,
7,решения,O,
8,задачи,B-TERM,
9,идентификации,I-TERM,
10,математических,I-TERM,
11,моделей,I-TERM,
12,объектов,I-TERM,
13,и,I-TERM,
14,процессов,I-TERM,
15,по,O,
16,экспериментальным,O,
17,данным,O,
18,.,O,
19,Показано,O,
20,",",O,
21,что,O,
22,методы,B-TERM,Q1799072
23,символьной,I-TERM,
24,регрессии,I-TERM,
25,",",O,
26,относящиеся,O,
27,к,O,
28,классу,O,
29,численных,B-TERM,Q24262840
30,методов,I-TERM,
31,",",O,
32,при,O,
33,решении,O,
34,задачи,B-TERM,
35,идентификации,I-TERM,
36,позволяют,O,
37,искать,O,
38,не,O,
39,только,O,
40,значения,O,
41,параметров,O,
42,",",O,
43,но,O,
44,и,O,
45,структуры,B-TERM,
46,математических,I-TERM,
47,моделей,I-TERM,
48,.,O,
49,Приведены,O,
50,практические,O,
51,примеры,O,
52,использования,O,
53,одного,O,
54,из,O,
55,методов,B-TERM,
56,символьной,I-TERM,
57,регрессии,I-TERM,
58,",",O,
59,метода,B-TERM,
60,сетевого,I-TERM,
61,оператора,I-TERM,
62,",",O,
63,для,O,
64,решения,O,
65,прикладных,O,
66,задач,B-TERM,
67,идентификации,I-TERM,
68,",",O,
69,модели,B-TERM,
70,мобильного,I-TERM,
71,робота,I-TERM,
72,и,O,
73,модели,B-TERM,
74,химической,I-TERM,
75,реакции,I-TERM,
76,.,O,
