id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,рассматривается,O,
3,система,B-TERM,
4,управления,I-TERM,
5,перемещением,I-TERM,
6,специализированного,I-TERM,
7,промышленного,I-TERM,
8,манипулятора,I-TERM,
9,.,O,
10,Проводится,O,
11,анализ,O,
12,ключевых,O,
13,особенностей,O,
14,системы,O,
15,",",O,
16,рассматривается,O,
17,и,O,
18,формулируется,O,
19,задача,B-TERM,
20,повышения,I-TERM,Q50412353
21,эффективности,I-TERM,
22,управления,I-TERM,
23,.,O,
24,На,O,
25,основании,O,
26,существующих,O,
27,в,O,
28,мобильной,B-TERM,
29,и,O,
30,промышленной,B-TERM,
31,робототехнике,I-TERM,
32,решений,O,
33,",",O,
34,включающих,O,
35,использование,O,
36,искусственных,B-TERM,Q192776
37,нейронных,I-TERM,
38,сетей,I-TERM,
39,",",O,
40,предлагается,O,
41,подход,O,
42,к,O,
43,формированию,B-TERM,
44,траектории,I-TERM,
45,перемещения,I-TERM,
46,манипулятора,I-TERM,
47,.,O,
