id,token,tag,wiki_id
0,В,O,
1,качестве,O,
2,объектов,O,
3,исследования,O,
4,в,O,
5,данной,O,
6,статье,O,
7,рассматриваются,O,
8,шагающие,B-TERM,
9,внутритрубные,I-TERM,
10,роботы,I-TERM,
11,с,O,
12,наиболее,O,
13,распространенными,O,
14,конструктивными,O,
15,плоскими,B-TERM,
16,и,O,
17,пространственной,B-TERM,
18,схемами,I-TERM,
19,.,O,
20,Для,O,
21,них,O,
22,обобщенно,O,
23,рассмотрены,O,
24,подходы,O,
25,к,O,
26,управлению,B-TERM,
27,движением,I-TERM,
28,",",O,
29,целью,O,
30,которых,O,
31,является,O,
32,реализация,O,
33,заданного,O,
34,перемещения,B-TERM,
35,ног,I-TERM,
36,и,O,
37,корпуса,B-TERM,
38,устройств,I-TERM,
39,с,O,
40,учетом,O,
41,геометрии,B-TERM,
42,трубы,I-TERM,
43,.,O,
44,Представлен,O,
45,обзор,O,
46,регуляторов,B-TERM,
47,системы,I-TERM,
48,управления,I-TERM,
49,шагов,I-TERM,
50,робота,I-TERM,
51,по,I-TERM,
52,трубе,I-TERM,
53,",",O,
54,методов,B-TERM,
55,задания,I-TERM,
56,траектории,I-TERM,
57,и,O,
58,ориентации,B-TERM,
59,корпуса,I-TERM,
60,устройства,I-TERM,
61,",",O,
62,подходов,O,
63,к,O,
64,решению,O,
65,обратной,B-TERM,
66,задачи,I-TERM,
67,кинематики,I-TERM,
68,",",O,
69,а,O,
70,также,O,
71,обзор,O,
72,регуляторов,B-TERM,
73,системы,I-TERM,
74,управления,I-TERM,
75,",",O,
76,позволяющих,O,
77,учитывать,O,
78,особенности,O,
79,контактного,B-TERM,
80,взаимодействия,I-TERM,
81,робота,I-TERM,
82,с,O,
83,внутренней,B-TERM,
84,поверхностью,I-TERM,
85,трубы,I-TERM,
86,",",O,
87,и,O,
88,их,O,
89,сравнительный,O,
90,анализ,O,
91,.,O,
