id,token,tag,wiki_id
0,Большинство,O,
1,технологий,O,
2,объектно,B-TERM,Q79872
3,-,I-TERM,
4,ориентированной,I-TERM,
5,разработки,I-TERM,
6,опирается,O,
7,на,O,
8,использование,O,
9,универсального,B-TERM,Q169411
10,языка,I-TERM,
11,моделирования,I-TERM,
12,UML,I-TERM,
13,;,O,
14,незаменимыми,O,
15,в,O,
16,процессе,B-TERM,Q1462272
17,проектирования,I-TERM,
18,являются,O,
19,диаграммы,B-TERM,Q664166
20,классов,I-TERM,
21,",",O,
22,которые,O,
23,служат,O,
24,для,O,
25,построения,B-TERM,
26,модели,I-TERM,
27,программной,I-TERM,
28,системы,I-TERM,
29,.,O,
30,Современные,O,
31,CASE,B-TERM,Q868714
32,-,I-TERM,
33,средства,I-TERM,
34,",",O,
35,являющиеся,O,
36,базовыми,O,
37,инструментами,B-TERM,
38,объектно,I-TERM,
39,-,I-TERM,
40,ориентированной,I-TERM,
41,разработки,I-TERM,
42,",",O,
43,не,O,
44,имеют,O,
45,средств,B-TERM,
46,оптимизации,I-TERM,
47,UML,I-TERM,
48,-,I-TERM,
49,диаграмм,I-TERM,
50,.,O,
51,В,O,
52,статье,O,
53,будет,O,
54,показано,O,
55,",",O,
56,как,O,
57,можно,O,
58,",",O,
59,базируясь,O,
60,на,O,
61,использовании,O,
62,шаблонов,B-TERM,Q181156
63,и,O,
64,антишаблонов,B-TERM,
65,проектирования,I-TERM,
66,",",O,
67,провести,O,
68,верификацию,B-TERM,Q953429
69,и,O,
70,оптимизацию,B-TERM,
71,диаграмм,I-TERM,
72,классов,I-TERM,
73,.,O,
74,Показано,O,
75,",",O,
76,что,O,
77,некоторые,O,
78,преобразования,O,
79,могут,O,
80,быть,O,
81,осуществлены,O,
82,автоматически,O,
83,;,O,
84,в,O,
85,остальных,O,
86,случаях,O,
87,проектировщику,O,
88,будет,O,
89,указано,O,
90,на,O,
91,потенциальную,O,
92,неэффективность,O,
93,модели,O,
94,и,O,
95,предложены,O,
96,рекомендации,O,
97,по,O,
98,ее,O,
99,исправлению,O,
100,.,O,
101,Предлагается,O,
102,дополнить,O,
103,CASE,B-TERM,Q868714
104,-,I-TERM,
105,средство,I-TERM,
106,возможностями,O,
107,верификации,B-TERM,Q953429
108,и,O,
109,оптимизации,B-TERM,
110,диаграмм,I-TERM,
111,классов,I-TERM,
112,.,O,
113,Для,O,
114,этой,O,
115,цели,O,
116,разработан,O,
117,плагин,B-TERM,Q70383937
118,",",O,
119,анализирующий,O,
120,XMI,B-TERM,
121,-,I-TERM,
122,файл,I-TERM,
123,",",O,
124,содержащий,O,
125,описание,O,
126,диаграмм,B-TERM,Q664166
127,классов,I-TERM,
128,.,O,
129,Поскольку,O,
130,XMI,B-TERM,
131,-,I-TERM,
132,представление,I-TERM,
133,диаграмм,I-TERM,
134,классов,I-TERM,
135,в,O,
136,Rational,B-TERM,Q3420095
137,Software,I-TERM,
138,Architect,I-TERM,
139,содержит,O,
140,избыточную,O,
141,информацию,O,
142,",",O,
143,выбрано,O,
144,более,O,
145,оптимальное,O,
146,представление,O,
147,",",O,
148,облегчающее,O,
149,реализацию,O,
150,алгоритмов,B-TERM,Q755673
151,поиска,I-TERM,
152,ошибочных,B-TERM,
153,и,O,
154,неоптимальных,B-TERM,
155,фрагментов,I-TERM,
156,диаграмм,B-TERM,Q664166
157,классов,I-TERM,
158,.,O,
