id,token,tag,wiki_id
0,Рассмотрены,O,
1,модификации,O,
2,нормальных,B-TERM,Q1900936
3,алгоритмов,I-TERM,
4,Маркова,I-TERM,
5,.,O,
6,Предложены,O,
7,способы,O,
8,сведения,O,
9,нормальных,B-TERM,Q7051829
10,схем,I-TERM,
11,самомодифицируемых,B-TERM,
12,алгоритмов,I-TERM,
13,и,O,
14,линейных,B-TERM,
15,нормальных,I-TERM,
16,алгоритмов,I-TERM,
17,к,O,
18,обобщениям,B-TERM,
19,Н,I-TERM,
20,.,I-TERM,
21,М,I-TERM,
22,.,I-TERM,
23,Нагорного,I-TERM,
24,.,O,
25,Предложены,O,
26,нормальные,B-TERM,
27,схемы,I-TERM,
28,обобщений,I-TERM,
29,Н,I-TERM,
30,.,I-TERM,
31,М,I-TERM,
32,.,I-TERM,
33,Нагорного,I-TERM,
34,",",O,
35,которые,O,
36,не,O,
37,могут,O,
38,сведены,O,
39,к,O,
40,самомодифицируемым,B-TERM,
41,и,O,
42,линейным,B-TERM,
43,нормальным,I-TERM,
44,алгоритмам,I-TERM,
45,.,O,
46,На,O,
47,основании,O,
48,этого,O,
49,сделан,O,
50,вывод,O,
51,о,O,
52,том,O,
53,",",O,
54,что,O,
55,обобщения,B-TERM,
56,Н,I-TERM,
57,.,I-TERM,
58,М,I-TERM,
59,.,I-TERM,
60,Нагорного,I-TERM,
61,являются,O,
62,наиболее,O,
63,общей,O,
64,модификацией,O,
65,из,O,
66,числа,O,
67,рассмотренных,O,
68,в,O,
69,статье,O,
70,.,O,
