id,token,tag,wiki_id
0,Статья,O,
1,посвящена,O,
2,задаче,O,
3,рефакторинга,B-TERM,
4,UML,I-TERM,
5,Refactoring,I-TERM,
6,диаграмм,I-TERM,
7,классов,I-TERM,
8,",",O,
9,на,O,
10,основе,O,
11,которых,O,
12,проектируется,O,
13,платформо,B-TERM,
14,-,I-TERM,
15,независимая,I-TERM,
16,модель,I-TERM,
17,объектно,B-TERM,
18,-,I-TERM,
19,ориентированной,I-TERM,
20,архитектуры,I-TERM,
21,программного,I-TERM,
22,обеспечения,I-TERM,
23,в,O,
24,рамках,O,
25,модельно,B-TERM,Q6888132
26,ориентированного,I-TERM,
27,подхода,I-TERM,
28,",",O,
29,предложенного,O,
30,организацией,O,
31,OMG,O,
32,.,O,
33,В,O,
34,статье,O,
35,сформулирована,O,
36,формальная,O,
37,постановка,O,
38,задачи,B-TERM,
39,рефакторинга,I-TERM,
40,UML,I-TERM,
41,-,I-TERM,
42,диаграмм,I-TERM,
43,классов,I-TERM,
44,",",O,
45,предложены,O,
46,математические,B-TERM,Q815844
47,методы,I-TERM,
48,задания,I-TERM,
49,функции,I-TERM,Q1437428
50,структурной,I-TERM,
51,семантики,I-TERM,
52,UML,I-TERM,
53,-,I-TERM,
54,диаграммы,I-TERM,
55,классов,I-TERM,
56,и,O,
57,описания,O,
58,семантически,B-TERM,
59,эквивалентных,I-TERM,
60,трансформаций,I-TERM,
61,.,O,
62,Также,O,
63,предложены,O,
64,алгоритмы,B-TERM,
65,трансформации,I-TERM,
66,UML,I-TERM,
67,-,I-TERM,
68,диаграмм,I-TERM,
69,классов,I-TERM,
70,и,O,
71,рефакторинга,B-TERM,Q116877
72,",",O,
73,расчета,O,
74,объектно,B-TERM,
75,-,I-TERM,
76,ориентированных,I-TERM,
77,метрик,O,
78,.,O,
79,В,O,
80,работе,O,
81,представлено,O,
82,программное,B-TERM,
83,средство,I-TERM,
84,UML,I-TERM,
85,Refactoring,I-TERM,
86,",",O,
87,позволяющее,O,
88,проводить,O,
89,рефакторинг,B-TERM,
90,UML,I-TERM,
91,-,I-TERM,
92,диаграмм,I-TERM,
93,классов,I-TERM,
94,",",O,
95,представленных,O,
96,в,O,
97,формате,B-TERM,Q548264
98,XMI,I-TERM,
99,.,O,
100,В,O,
101,заключение,O,
102,разработана,O,
103,методика,O,
104,рефакторинга,B-TERM,
105,UML,I-TERM,
106,-,I-TERM,
107,диаграмм,I-TERM,
108,классов,I-TERM,
109,при,O,
110,помощи,O,
111,программного,B-TERM,
112,средства,I-TERM,
113,UML,I-TERM,
114,Refactoring,I-TERM,
115,.,O,
