id,token,tag,wiki_id
0,Рассматриваются,O,
1,вопросы,O,
2,нормативно,B-TERM,
3,-,I-TERM,
4,правового,I-TERM,
5,обеспечения,I-TERM,
6,и,O,
7,обосновываются,O,
8,предложения,O,
9,по,O,
10,развитию,O,
11,электронного,B-TERM,Q182250
12,обучения,I-TERM,
13,в,O,
14,России,O,
15,в,O,
16,части,O,
17,значительного,O,
18,уменьшения,O,
19,влияния,O,
20,федерального,B-TERM,Q4481755
21,органа,I-TERM,
22,исполнительной,I-TERM,
23,власти,I-TERM,
24,",",O,
25,осуществляющего,O,
26,функции,B-TERM,Q1474521
27,по,O,
28,выработке,O,
29,государственной,B-TERM,Q546113
30,политики,I-TERM,
31,и,O,
32,нормативно,B-TERM,
33,-,I-TERM,
34,правовому,I-TERM,
35,регулированию,I-TERM,
36,в,O,
37,сфере,B-TERM,Q1326354
38,образования,I-TERM,
39,",",O,
40,на,O,
41,регламентацию,B-TERM,
42,форм,I-TERM,
43,",",O,
44,средств,B-TERM,Q39546
45,",",O,
46,методов,B-TERM,Q2695280
47,и,O,
48,технологий,B-TERM,
49,обучения,I-TERM,
50,",",O,
51,а,O,
52,также,O,
53,вмешательства,O,
54,в,O,
55,учебный,O,
56,процесс,O,
57,организаций,B-TERM,
58,профессионального,I-TERM,
59,образования,I-TERM,
60,",",O,
61,независимо,O,
62,от,O,
63,форм,B-TERM,Q1400881
64,собственности,I-TERM,
65,.,O,
