id,token,tag,wiki_id
0,Создание,O,
1,конструкторской,O,
2,документации,O,
3,основано,O,
4,на,O,
5,использовании,O,
6,современных,O,
7,систем,B-TERM,
8,автоматизированного,I-TERM,
9,проектирования,I-TERM,
10,трехмерных,I-TERM,
11,моделей,I-TERM,
12,изделий,I-TERM,
13,.,O,
14,Для,O,
15,студентов,O,
16,и,O,
17,инженеров,O,
18,машиностроительных,O,
19,специальностей,O,
20,будут,O,
21,полезны,O,
22,представленные,O,
23,средства,O,
24,выбора,O,
25,элементов,O,
26,моделей,O,
27,изделий,O,
28,",",O,
29,режимы,O,
30,наложения,B-TERM,
31,сборочных,I-TERM,
32,зависимостей,I-TERM,
33,и,O,
34,приведенные,O,
35,сведения,O,
36,по,O,
37,оформлению,O,
38,сборочных,O,
39,чертежей,O,
40,в,O,
41,соответствии,O,
42,со,O,
43,стандартами,O,
44,Единой,B-TERM,Q4173959
45,Системы,I-TERM,
46,Конструкторской,I-TERM,
47,Документации,I-TERM,
48,.,O,
49,Рассмотренный,O,
50,в,O,
51,статье,O,
52,алгоритм,B-TERM,
53,построения,I-TERM,
54,модели,I-TERM,
55,сборочной,I-TERM,
56,единицы,I-TERM,
57,в,O,
58,среде,B-TERM,Q735441
59,программы,I-TERM,
60,Autodesk,I-TERM,
61,Inventor,I-TERM,
62,позволяет,O,
63,ускорить,O,
64,процесс,O,
65,выполнения,O,
66,сборочного,B-TERM,Q138583
67,чертежа,I-TERM,
68,и,O,
69,исключает,O,
70,нарушение,O,
71,проекционной,B-TERM,
72,связи,I-TERM,
73,изображений,I-TERM,
74,.,O,
