id,token,tag,wiki_id
0,Рассказано,O,
1,",",O,
2,как,O,
3,можно,O,
4,привязать,O,
5,цепь,B-TERM,
6,к,O,
7,географии,B-TERM,Q1071
8,",",O,
9,математике,B-TERM,Q395
10,",",O,
11,физике,B-TERM,Q413
12,",",O,
13,истории,B-TERM,Q1066186
14,",",O,
15,статистике,B-TERM,Q745328
16,и,O,
17,даже,O,
18,этике,B-TERM,Q9465
19,.,O,
20,Предложен,O,
21,и,O,
22,опробован,O,
23,инструмент,O,
24,наукометрии,B-TERM,Q472342
25,(,O,
26,конкретнее,O,
27,«,O,
28,матметрии,B-TERM,
29,»,O,
30,),O,
31,на,O,
32,основе,O,
33,анализа,O,
34,качественных,B-TERM,
35,и,O,
36,количественных,B-TERM,
37,данных,I-TERM,
38,о,O,
39,математиках,O,
40,",",O,
41,опубликованных,O,
42,в,O,
43,Википедии,O,
44,.,O,
45,Описаны,O,
46,три,O,
47,художественных,B-TERM,Q838948
48,объекта,I-TERM,
49,(,O,
50,памятник,B-TERM,
51,цепной,I-TERM,
52,линии,I-TERM,
53,",",O,
54,тарелка,B-TERM,
55,Чирнхауса,I-TERM,
56,и,O,
57,часы,B-TERM,
58,Кеплера,I-TERM,
59,),O,
60,с,O,
61,математическим,O,
62,содержанием,O,
63,",",O,
64,которые,O,
65,можно,O,
66,установить,O,
67,в,O,
68,городах,O,
69,Европы,O,
70,для,O,
71,популяризации,O,
72,математики,O,
73,через,O,
74,художественно,O,
75,восприятие,O,
76,исторических,O,
77,событий,O,
78,.,O,
