id,token,tag,wiki_id
0,Статья,O,
1,посвящена,O,
2,обсуждению,O,
3,концепции,O,
4,понятия,O,
5,«,O,
6,репрезентативность,B-TERM,
7,статистической,I-TERM,
8,выборки,I-TERM,
9,»,O,
10,.,O,
11,Предложена,O,
12,статистическая,B-TERM,
13,мера,I-TERM,
14,репрезентативности,I-TERM,
15,выборки,I-TERM,
16,способ,O,
17,количественной,O,
18,оценки,O,
19,степени,O,
20,репрезентативности,B-TERM,
21,выборки,I-TERM,
22,из,O,
23,генеральной,B-TERM,Q49918
24,совокупности,I-TERM,
25,.,O,
26,Для,O,
27,демонстрации,O,
28,техники,O,
29,применения,O,
30,соответствующих,O,
31,определений,O,
32,и,O,
33,методов,O,
34,рассмотрен,O,
35,пример,O,
36,",",O,
37,связанный,O,
38,с,O,
39,выявлением,O,
40,объема,O,
41,статистически,B-TERM,
42,достоверной,I-TERM,
43,выборки,I-TERM,
44,при,O,
45,анализе,O,
46,СЭМ,B-TERM,
47,-,O,
48,изображений,B-TERM,
49,поверхности,I-TERM,
50,полимерного,I-TERM,
51,композита,I-TERM,
52,.,O,
