id,token,tag
0,Описываются,
1,достигнутые,
2,результаты,
3,работы,
4,по,
5,созданию,
6,региональной,B-TERM
7,ассоциативной,I-TERM
8,базы,I-TERM
9,данных,I-TERM
10,(,
11,в,
12,дальнейшем,
13,:,
14,СИБАС,B-TERM
15,),
16,",",
17,полученной,
18,в,
19,массовом,B-TERM
20,ассоциативном,I-TERM
21,эксперименте,I-TERM
22,(,
23,2007,
24,–,
25,2012,
26,),
27,со,
28,студентами,
29,в,
30,вузах,
31,Сибири,
32,и,
33,Дальнего,
34,Востока,
35,.,
36,Работа,
37,проводится,
38,в,
39,рамках,
40,инициированного,
41,Институтом,
42,языкознания,
43,РАН,
44,общероссийского,
45,проекта,
46,",",
47,нацеленного,
48,на,
49,создание,
50,нового,
51,русского,
52,ассоциативного,B-TERM
53,словаря,I-TERM
54,.,
55,Рассматриваются,
56,возможности,
57,использования,
58,этого,
59,материала,B-TERM
60,для,
61,междисциплинарного,
62,исследования,
63,динамики,B-TERM
64,этнокультурных,I-TERM
65,(,
66,ценностных,B-TERM
67,),
68,доминант,B-TERM
69,молодых,
70,россиян,
71,в,
72,постсоветский,
73,период,
74,.,
75,Полученные,
76,в,
77,эксперименте,
78,данные,B-TERM
79,свидетельствуют,
80,о,
81,сохранении,
82,устойчивости,B-TERM
83,(,
84,по,
85,отношению,
86,к,
87,соответствующим,
88,общероссийским,
89,показателями,
90,прошлого,
91,века,
92,),
93,ассоциативных,B-TERM
94,доминант,I-TERM
95,",",
96,составляющих,
97,ядро,B-TERM
98,языкового,I-TERM
99,сознания,I-TERM
100,молодых,
101,носителей,
102,русского,
103,языка,
104,",",
105,проживающих,
106,в,
107,азиатских,
108,регионах,
109,России,
110,.,
