id,token,tag
0,Проводится,
1,сравнительно,B-TERM
2,-,I-TERM
3,сопоставительный,I-TERM
4,анализ,I-TERM
5,английских,
6,и,
7,китайских,
8,лексико,B-TERM
9,-,I-TERM
10,семантических,I-TERM
11,типов,I-TERM
12,выражения,B-TERM
13,значения,B-TERM
14,«,I-TERM
15,движение,I-TERM
16,вверх,I-TERM
17,»,I-TERM
18,.,
19,В,
20,процессе,
21,поиска,
22,функционально,B-TERM
23,соотносимых,I-TERM
24,типов,I-TERM
25,выделено,
26,три,
27,различных,
28,структурных,B-TERM
29,модели,I-TERM
30,лексем,B-TERM
31,английского,
32,языка,
33,и,
34,два,
35,типа,
36,лексем,B-TERM
37,китайского,
38,языка,
39,.,
40,В,
41,качестве,
42,единиц,B-TERM
43,для,
44,сравнительно,B-TERM
45,-,I-TERM
46,сопоставительного,I-TERM
47,анализа,I-TERM
48,рассматриваются,
49,функционально,B-TERM
50,соотносимые,I-TERM
51,и,
52,структурно,B-TERM
53,схожие,I-TERM
54,типы,I-TERM
55,описания,B-TERM
56,движения,B-TERM
57,вверх,I-TERM
58,–,
59,аналитические,B-TERM
60,лексемы,I-TERM
61,«,
62,глагольное,B-TERM
63,слово,I-TERM
64,+,
65,наречие,B-TERM
66,up,
67,в,
68,английском,
69,и,
70,аналогичный,
71,постпозитивный,B-TERM
72,элемент,I-TERM
73,-,I-TERM
74,частица,I-TERM
75,",",
76,выражающий,
77,значение,B-TERM
78,вверх,I-TERM
79,в,
80,китайском,
81,»,
82,.,
