id,token,tag
0,Проводится,
1,сравнительный,B-TERM
2,корпусный,I-TERM
3,анализ,I-TERM
4,возникшего,
5,в,
6,новоанглийский,B-TERM
7,период,I-TERM
8,явления,
9,вторичного,B-TERM
10,аналитизма,I-TERM
11,с,
12,целью,
13,выявления,
14,наиболее,
15,ранних,
16,употреблений,
17,вторичных,B-TERM
18,аналитических,I-TERM
19,конструкций,I-TERM
20,с,
21,эврисемичными,B-TERM
22,глаголами,I-TERM
23,",",
24,их,
25,состава,
26,и,
27,возможной,
28,зависимости,
29,от,
30,функционально,B-TERM
31,-,I-TERM
32,стилистических,I-TERM
33,особенностей,I-TERM
34,текстов,B-TERM
35,.,
36,Исследование,B-TERM
37,проводилось,
38,на,
39,базе,
40,Исторического,B-TERM
41,корпуса,I-TERM
42,американского,I-TERM
43,английского,I-TERM
44,(,
45,COHA,B-TERM
46,),
47,и,
48,корпуса,B-TERM
49,GOOGLE,I-TERM
50,Books,I-TERM
51,.,
