id,token,tag
0,Рассматриваются,
1,итеративные,B-TERM
2,значения,I-TERM
3,бивербальной,B-TERM
4,конструкции,I-TERM
5,",",
6,состоящей,
7,из,
8,деепричастия,B-TERM
9,основного,B-TERM
10,глагола,I-TERM
11,и,
12,вспомогательного,B-TERM
13,глагола,I-TERM
14,одур,
15,#ERROR!,
16,‘,
17,сидеть,
18,.’,
19,Она,
20,является,
21,единственным,
22,средством,B-TERM
23,выражения,I-TERM
24,действий,I-TERM
25,",",
26,регулярно,
27,повторяющихся,
28,через,
29,определенные,
30,промежутки,
31,времени,
32,.,
33,Эта,
34,конструкция,B-TERM
35,используется,
36,также,
37,для,
38,обозначения,B-TERM
39,действия,I-TERM
40,",",
41,совершающихся,
42,в,
43,определенный,
44,момент,
45,или,
46,период,
47,времени,
48,при,
49,определенных,
50,условиях,
51,",",
52,или,
53,действий,
54,",",
55,характеризующих,
56,субъект,B-TERM
57,постоянно,
58,.,
59,Специфическая,
60,особенность,
61,одур,
62,#ERROR!,
63,проявляется,
64,в,
65,том,
66,",",
67,что,
68,он,
69,акцентирует,
70,конкретные,
71,условия,
72,",",
73,при,
74,которых,
75,совершается,
76,действие,B-TERM
77,.,
78,Это,
79,отличает,
80,шорскую,
81,конструкцию,B-TERM
82,от,
83,формы,
84,русского,
85,несовершенного,B-TERM
86,вида,I-TERM
87,и,
88,от,
89,английской,
90,формы,
91,Continuous,
92,.,
