id,token,tag
0,В,
1,статье,
2,идет,
3,речь,
4,о,
5,состоянии,
6,",",
7,проблемах,
8,и,
9,перспективах,
10,развития,
11,общего,B-TERM
12,среднего,I-TERM
13,образования,I-TERM
14,в,
15,ряде,
16,регионов,
17,РФ,
18,.,
19,Опираясь,
20,на,
21,результаты,
22,широкомасштабного,
23,социологического,B-TERM
24,исследования,I-TERM
25,",",
26,автор,
27,рассматривает,
28,",",
29,насколько,
30,эффективно,
31,",",
32,с,
33,точки,
34,зрения,
35,респондентов,B-TERM
36,",",
37,школы,B-TERM
38,выполняют,
39,свои,
40,основные,
41,функции,B-TERM
42,.,
43,Материалы,
44,могут,
45,представлять,
46,определенный,
47,интерес,
48,для,
49,специалистов,
50,органов,B-TERM
51,управления,I-TERM
52,образованием,I-TERM
53,",",
54,руководителей,
55,ОУ,B-TERM
56,и,
57,социологов,
58,",",
59,работающих,
60,в,
61,области,
62,социологии,B-TERM
63,образования,I-TERM
64,.,
