id,token,tag
0,В,
1,работе,
2,представлен,
3,ряд,
4,контекстов,B-TERM
5,и,
6,смыслов,B-TERM
7,понятия,
8,«,
9,единица,B-TERM
10,»,
11,как,
12,дидактической,B-TERM
13,составляющей,I-TERM
14,в,B-TERM
15,педагогике,
16,.,
17,Рассмотрены,
18,единицы,B-TERM
19,как,
20,элементы,
21,знания,B-TERM
22,или,
23,единицы,B-TERM
24,учебной,B-TERM
25,информации,I-TERM
26,",",
27,дидактические,B-TERM
28,единицы,I-TERM
29,и,
30,укрупненные,B-TERM
31,дидактические,I-TERM
32,единицы,I-TERM
33,.,
34,Различные,
35,виды,
36,единиц,B-TERM
37,позволяют,
38,оптимально,
39,организовать,
40,учебный,B-TERM
41,процесс,I-TERM
42,.,
