id,token,tag
0,Представлен,O
1,опыт,O
2,комплексного,O
3,сопровождения,O
4,сети,O
5,специализированных,B-TERM
6,классов,I-TERM
7,математической,B-TERM
8,и,O
9,естественнонаучной,B-TERM
10,направленности,I-TERM
11,общеобразовательных,B-TERM
12,учреждений,I-TERM
13,Новосибирской,O
14,области,O
15,.,O
16,Особое,O
17,внимание,O
18,уделено,O
19,вопросам,O
20,создания,O
21,модели,O
22,управления,O
23,развитием,O
24,сети,O
25,специализированных,B-TERM
26,классов,I-TERM
27,",",O
28,научно,B-TERM
29,-,I-TERM
30,методическому,I-TERM
31,и,O
32,психолого,B-TERM
33,-,I-TERM
34,педагогическому,I-TERM
35,сопровождению,I-TERM
36,специализированного,B-TERM
37,обучения,I-TERM
38,.,O
