id,token,tag
0,В,
1,статье,
2,рассматривается,
3,проблема,
4,развития,
5,критического,B-TERM
6,мышления,I-TERM
7,",",
8,его,
9,роль,
10,в,
11,формировании,
12,социально,B-TERM
13,-,I-TERM
14,профессиональной,I-TERM
15,компетентности,I-TERM
16,будущего,
17,юриста,B-TERM
18,.,
19,Представлен,
20,исторический,
21,опыт,
22,изучения,
23,критического,B-TERM
24,мышления,I-TERM
25,.,
26,Выделены,
27,основные,
28,этапы,
29,развития,
30,исследований,B-TERM
31,",",
32,их,
33,сущностные,B-TERM
34,характеристики,I-TERM
35,.,
36,Рассмотрены,
37,некоторые,
38,приемы,
39,организации,
40,самостоятельной,B-TERM
41,работы,I-TERM
42,обучающихся,B-TERM
43,.,
