id,token,tag
0,Система,
1,концепций,
2,создания,
3,центров,B-TERM
4,научно,I-TERM
5,-,I-TERM
6,технического,I-TERM
7,творчества,I-TERM
8,молодежи,I-TERM
9,рассматривается,
10,как,
11,необходимая,
12,часть,
13,программы,
14,развития,
15,инновационной,B-TERM
16,экономики,I-TERM
17,страны,
18,.,
19,Показано,
20,",",
21,что,
22,воспитание,
23,творческих,B-TERM
24,личностей,I-TERM
25,в,
26,различных,
27,областях,
28,деятельности,B-TERM
29,является,
30,приоритетной,
31,задачей,
32,педагогики,B-TERM
33,и,
34,государства,
35,.,
36,Обсуждаются,
37,условия,
38,",",
39,необходимые,
40,для,
41,решения,
42,этой,
43,задачи,
44,.,
