id,token,tag
0,Раскрывается,
1,необходимость,
2,формирования,
3,правовой,B-TERM
4,идеологии,I-TERM
5,работодателя,I-TERM
6,и,
7,ее,
8,отражения,
9,в,
10,локальных,B-TERM
11,нормативных,I-TERM
12,правовых,I-TERM
13,актах,I-TERM
14,",",
15,задающих,
16,ценностные,B-TERM
17,ориентиры,I-TERM
18,развития,
19,правового,B-TERM
20,регулирования,I-TERM
21,социально,B-TERM
22,-,I-TERM
23,трудовых,I-TERM
24,отношений,I-TERM
25,в,
26,организации,B-TERM
27,.,
27,Авторитет,
28,власти,
29,работодателя,B-TERM
30,напрямую,
31,зависит,
32,от,
33,его,
34,признания,
35,работниками,B-TERM
38,",",
39,понимания,
40,ими,
41,исходных,
42,начал,
43,властных,B-TERM
44,велений,I-TERM
45,.,
46,В,
47,случае,
48,",",
49,если,
50,работники,B-TERM
51,разделяют,
52,правовую,B-TERM
53,идеологию,I-TERM
54,работодателя,B-TERM
55,",",
56,принимаемые,
57,на,
58,ее,
59,основе,
60,нормотворческие,B-TERM
61,и,
62,правоприменительные,B-TERM
63,решения,
64,будут,
65,восприниматься,
66,трудовым,B-TERM
67,коллективом,
68,как,
69,целесообразные,
70,и,
71,не,
72,потребуют,
73,дополнительных,
74,механизмов,B-TERM
75,обеспечения,I-TERM
76,.,
77,В,
78,работе,
79,формулируются,
80,основные,
81,принципы,
82,формирования,
83,правовой,B-TERM
84,идеологии,I-TERM
85,работодателя,B-TERM
86,",",
87,предлагается,
88,принять,
89,за,
90,ее,
91,основу,
92,политику,B-TERM
93,равных,I-TERM
94,возможностей,I-TERM
95,работников,B-TERM
96,в,
97,организации,B-TERM
98,.,
99,В,
100,связи,
101,с,
102,этим,
103,проводится,
104,анализ,B-TERM
105,осуществления,
106,политики,B-TERM
107,равных,I-TERM
108,возможностей,I-TERM
109,в,
110,учреждениях,B-TERM
111,и,
112,организациях,B-TERM
113,стран,
114,англосаксонской,B-TERM
115,правовой,I-TERM
116,системы,I-TERM
117,",",
118,выявляются,
119,основные,
120,направления,
121,ее,
122,реализации,
123,в,
124,нормотворческой,B-TERM
125,",",
126,правоприменительной,B-TERM
127,деятельности,I-TERM
128,работодателя,B-TERM
129,",",
130,а,
131,также,
132,в,
133,процессе,
134,правового,B-TERM
135,воспитания,I-TERM
136,работников,B-TERM
137,.,
