id,token,tag
0,Позитивная,
1,оценка,
2,правосудия,B-TERM
3,зависит,
4,",",
5,в,
6,том,
7,числе,
8,",",
9,и,
10,от,
11,ценности,
12,самого,
13,результата,
14,судебного,B-TERM
15,разбирательства,I-TERM
16,.,
17,В,
18,связи,
19,с,
20,этим,
21,особое,
22,значение,
23,приобретают,
24,мотивация,
25,в,
26,достижении,
27,цели,
28,правосудия,B-TERM
29,",",
30,наличие,
31,фактически,
32,равных,
33,возможностей,
34,сторон,B-TERM
35,в,
36,судебном,B-TERM
37,процессе,I-TERM
38,",",
39,обеспечение,
40,свободы,B-TERM
41,субъектов,B-TERM
42,в,
43,выборе,
44,способов,B-TERM
45,защиты,I-TERM
46,нарушенных,I-TERM
47,прав,I-TERM
48,.,
49,Уделяется,
50,внимание,
51,теории,B-TERM
52,справедливости,I-TERM
53,и,I-TERM
54,ожидания,I-TERM
55,",",
56,которая,
57,рассматривается,
58,в,
59,качестве,
60,процессуальной,B-TERM
61,теории,I-TERM
62,равенства,I-TERM
63,",",I-TERM
64,свободы,I-TERM
65,и,I-TERM
66,мотивации,I-TERM
67,.,
68,Справедливость,B-TERM
69,исследуется,
70,как,
71,универсальная,B-TERM
72,категория,I-TERM
73,",",
74,позволяющая,
75,определить,
76,эффективность,
77,отправляемого,
78,правосудия,B-TERM
79,и,
80,приоритет,
81,для,
82,лица,
83,тех,
84,или,
85,иных,
86,результатов,
87,.,
88,В,
89,основу,
90,права,B-TERM
91,на,I-TERM
92,справедливое,I-TERM
93,судебное,I-TERM
94,разбирательство,I-TERM
95,",",
96,по,
97,мнению,
98,автора,
99,настоящей,
100,статьи,
101,",",
102,положена,
103,триада,
104,форм,B-TERM
105,справедливости,I-TERM
106,",",
107,образующих,
108,цикл,
109,эффективной,
110,реализации,
111,указанного,
112,права,B-TERM
113,",",
114,–,
115,ожидание,B-TERM
116,справедливости,I-TERM
117,",",
118,справедливое,B-TERM
119,судебное,I-TERM
120,разбирательство,I-TERM
121,",",
122,справедливый,B-TERM
123,результат,I-TERM
124,.,
125,Любая,
126,из,
127,перечисленных,
128,форм,B-TERM
129,справедливости,I-TERM
130,в,
131,рамках,
132,права,B-TERM
133,на,I-TERM
134,справедливое,I-TERM
135,судебное,I-TERM
136,разбирательство,I-TERM
137,обладает,
138,собственными,
139,задачами,
140,судопроизводства,B-TERM
141,.,
142,Единство,
143,объективных,B-TERM
144,(,
145,легальных,B-TERM
146,),
147,и,
148,субъективных,B-TERM
149,(,
150,внутренних,B-TERM
151,),
152,задач,B-TERM
153,каждой,
154,из,
155,форм,B-TERM
156,справедливости,I-TERM
157,способствует,
158,созданию,
159,реальной,B-TERM
160,справедливости,I-TERM
161,.,
162,При,
163,вынесении,B-TERM
164,решения,I-TERM
165,судья,B-TERM
166,в,
167,случае,
168,отсутствия,
169,формального,B-TERM
170,источника,I-TERM
171,права,I-TERM
172,не,
173,должен,
174,ограничиваться,
175,исключительно,
176,позитивистским,B-TERM
177,подходом,I-TERM
178,.,
