id,token,tag
0,Рассматривается,
1,проблема,
2,полномочий,B-TERM
3,арбитражных,B-TERM
4,судов,I-TERM
5,по,
6,предупреждению,
7,правонарушений,B-TERM
8,в,
9,предпринимательской,B-TERM
10,и,
11,иной,
12,экономической,B-TERM
13,деятельности,I-TERM
14,.,
15,Вопрос,
16,определения,
17,таких,
18,полномочий,B-TERM
19,имеет,
20,ключевое,
21,значение,
22,для,
23,реализации,
24,задачи,
25,по,
26,предупреждению,
27,правонарушений,B-TERM
28,в,
29,предпринимательской,B-TERM
30,и,
31,иной,
32,экономической,B-TERM
33,деятельности,I-TERM
34,",",
35,стоящей,
36,перед,
37,арбитражными,B-TERM
38,судами,I-TERM
39,.,
40,Анализируя,
41,судебную,B-TERM
42,практику,I-TERM
43,и,
44,действующее,
45,законодательство,B-TERM
46,",",
47,автор,
48,приходит,
49,к,
50,выводу,
51,о,
52,том,
53,",",
54,что,
55,в,
56,настоящее,
57,время,
58,недостаточно,
59,используется,
60,потенциал,
61,арбитражных,B-TERM
62,судов,I-TERM
63,в,
64,данном,
65,вопросе,
66,.,
67,Вместе,
68,с,
69,тем,
70,в,
71,качестве,
72,полномочий,B-TERM
73,арбитражных,B-TERM
74,судов,I-TERM
75,",",
76,направленных,
77,на,
78,предупреждение,
79,правонарушений,B-TERM
80,",",
81,автором,
82,статьи,
83,рассматриваются,
84,полномочия,B-TERM
85,по,I-TERM
86,определению,I-TERM
87,предмета,I-TERM
88,доказывания,I-TERM
89,по,I-TERM
90,делу,I-TERM
91,",",
92,вынесению,B-TERM
93,законного,I-TERM
94,и,I-TERM
95,обоснованного,I-TERM
96,решения,I-TERM
97,",",
98,принятию,B-TERM
99,обеспечительных,I-TERM
100,мер,I-TERM
101,",",
102,а,
103,также,
104,полномочия,
105,по,
106,использованию,
107,не,
108,предусмотренного,
109,действующим,
110,АПК,
111,РФ,
112,института,
113,частного,
114,определения,
115,судьи,B-TERM
116,.,
117,Также,
118,автор,
119,предлагает,
120,ряд,
121,законодательных,B-TERM
122,изменений,I-TERM
123,в,
124,АПК,B-TERM
125,РФ,I-TERM
126,",",
127,связанных,
128,с,
129,регулированием,
130,процесса,
131,принятия,
132,обеспечительных,B-TERM
133,мер,I-TERM
134,",",
135,дополнительным,
136,закреплением,
137,обязанности,
138,суда,B-TERM
139,по,
140,определению,B-TERM
141,предмета,I-TERM
142,доказывания,I-TERM
143,по,I-TERM
144,делу,I-TERM
145,и,
146,введением,
147,института,B-TERM
148,частного,I-TERM
149,определения,I-TERM
150,в,
151,арбитражный,B-TERM
152,процесс,I-TERM
153,.,
