id,token,tag
0,Рассматривается,
1,психологический,B-TERM
2,комплекс,I-TERM
3,виктимности,I-TERM
4,",",
5,включающий,
6,в,
7,себя,
8,один,
9,выраженный,
10,или,
11,совокупность,
12,нескольких,
13,типов,
14,виктимного,B-TERM
15,поведения,I-TERM
16,.,
17,Тип,
18,виктимного,B-TERM
19,поведения,I-TERM
20,проявляется,
21,при,
22,взаимодействии,
23,несовершеннолетнего,B-TERM
24,или,
25,малолетнего,B-TERM
26,с,
27,преступником,B-TERM
28,и,
29,способствует,
30,совершению,
31,противоправных,B-TERM
32,действий,I-TERM
33,",",
34,в,
35,том,
36,числе,
37,сексуального,B-TERM
38,характера,I-TERM
39,.,
40,Статья,
41,акцентирует,
42,внимание,
43,на,
44,доказанной,
45,взаимосвязи,
46,преступника,B-TERM
47,",",
48,жертвы,B-TERM
49,и,
50,ситуации,B-TERM
51,.,
52,Образование,
53,и,
54,функционирование,
55,единой,
56,и,
57,подвижной,
58,криминальной,B-TERM
59,системы,I-TERM
60,определяет,
61,возможность,
62,реализации,
63,противоправных,B-TERM
64,действий,I-TERM
65,.,
66,В,
67,статье,
68,рассматривается,
69,значение,
70,поведения,
71,жертвы,B-TERM
72,в,
73,качестве,
74,пускового,
75,механизма,
76,к,
77,совершению,
78,преступлений,B-TERM
79,.,
80,Автор,
81,обращает,
82,внимание,
83,на,
84,провоцирующее,
85,поведение,
86,преступника,B-TERM
87,при,
88,совершении,
89,преступлений,B-TERM
90,сексуального,I-TERM
91,характера,I-TERM
92,.,
93,Представленный,
94,психологический,B-TERM
95,комплекс,I-TERM
96,виктимности,I-TERM
97,",",
98,проявляющийся,
99,в,
100,поведенческих,B-TERM
101,реакциях,I-TERM
102,несовершеннолетнего,B-TERM
103,и,
104,малолетнего,B-TERM
105,при,
106,взаимодействии,
107,с,
108,преступником,B-TERM
109,",",
110,состоит,
111,",",
112,в,
113,зависимости,
114,от,
115,возраста,
116,жертвы,B-TERM
117,",",
118,из,
119,пассивно,B-TERM
120,-,I-TERM
121,подчиняемого,I-TERM
122,типа,
123,",",
124,депривированного,B-TERM
125,типа,I-TERM
126,",",
127,инцестного,B-TERM
128,типа,I-TERM
129,",",
130,типа,B-TERM
131,с,I-TERM
132,незрелой,I-TERM
133,эротической,I-TERM
134,идентичностью,I-TERM
135,в,
136,сочетании,
137,с,
138,псевдопровоцирующим,B-TERM
139,типом,I-TERM
140,и,
141,несоциализированного,B-TERM
142,или,
143,слабо,B-TERM
144,социализированного,I-TERM
145,типа,I-TERM
146,поведения,I-TERM
147,.,
