id,token,tag
0,Статья,
1,посвящена,
2,проблеме,
3,вины,B-TERM
4,в,
5,гражданском,B-TERM
6,праве,I-TERM
7,.,
8,Показано,
9,",",
10,что,
11,в,
12,разные,
13,исторические,
14,периоды,
15,понимание,
16,вины,B-TERM
17,в,
18,гражданском,B-TERM
19,праве,I-TERM
20,было,
21,различным,
22,",",
23,менялись,
24,и,
25,научные,
26,представления,
27,о,
28,ней,
29,.,
30,Если,
31,в,
32,римском,B-TERM
33,праве,
34,вина,B-TERM
35,воспринималась,
36,как,
37,объективная,B-TERM
38,категория,I-TERM
39,",",
40,то,
41,в,
42,последующем,
43,она,
44,стала,
45,приобретать,
46,субъективный,B-TERM
47,характер,I-TERM
48,.,
49,В,
50,российском,B-TERM
51,законодательстве,I-TERM
52,не,
53,существовало,
54,общей,
55,нормы,B-TERM
56,о,
57,вине,B-TERM
58,",",
59,она,
60,определялась,
61,через,
62,ее,
63,формы,
64,.,
65,Долгое,
66,время,
67,и,
68,в,
69,литературе,
70,эта,
71,правовая,B-TERM
72,категория,I-TERM
73,специально,
74,не,
75,изучалась,
76,",",
77,исследовались,
78,лишь,
79,ее,
80,формы,
81,(,
82,умысел,B-TERM
83,и,
84,неосторожность,B-TERM
85,),
86,.,
87,Среди,
88,ученых,
89,советского,
90,периода,
91,преобладало,
92,субъективное,
93,понимание,
94,вины,B-TERM
95,",",
96,такой,
97,же,
98,подход,
99,к,
100,вине,B-TERM
101,преобладает,
102,и,
103,в,
104,современной,
105,цивилистической,B-TERM
106,литературе,I-TERM
107,.,
108,В,
109,абзаце,
110,2,
111,п,
112,.,
113,1,
114,ст,
115,.,
116,401,
117,ГК,
118,РФ,
119,впервые,
120,содержится,
121,правило,
122,",",
123,которое,
124,сторонники,
125,объективного,
126,понимания,
127,вины,B-TERM
128,рассматривают,
129,как,
130,попытку,
131,законодателя,B-TERM
132,определить,
133,общее,
134,понятие,
135,вины,B-TERM
136,.,
137,Дан,
138,критический,B-TERM
139,анализ,I-TERM
140,«,B-TERM
141,объективистской,I-TERM
142,»,I-TERM
143,концепции,I-TERM
144,вины,I-TERM
145,.,
146,Определены,
147,основные,
148,признаки,
149,вины,B-TERM
150,как,
151,психического,B-TERM
152,отношения,I-TERM
153,правонарушителя,B-TERM
154,к,
155,своему,
156,противоправному,B-TERM
157,поведению,I-TERM
158,и,
159,его,
160,результату,
161,.,
162,На,
163,основе,
164,выявленных,
165,признаков,
166,сформулировано,
167,понятие,
168,вины,B-TERM
169,как,
170,субъективного,B-TERM
171,условия,I-TERM
172,гражданско,B-TERM
173,-,I-TERM
174,правовой,I-TERM
175,ответственности,I-TERM
176,.,
