id,token,tag
0,Рассматривается,O
1,возможность,O
2,строения,O
3,образовательной,B-TERM
4,траектории,I-TERM
5,(,O
6,среды,B-TERM
7,),O
8,на,O
9,основании,O
10,использования,O
11,интерактивных,B-TERM
12,технологий,I-TERM
13,",",O
14,где,O
15,содержательным,O
16,компонентом,O
17,являются,O
18,образовательные,B-TERM
19,веб,I-TERM
20,-,I-TERM
21,сайты,I-TERM
22,",",O
23,мультимедийные,B-TERM
24,обучающие,I-TERM
25,программы,I-TERM
26,",",O
27,интернет,B-TERM
28,-,I-TERM
29,ресурсы,I-TERM
30,и,O
31,т,O
32,.,O
33,д,O
34,.,O
35,При,O
36,этом,O
37,мультимедиа,B-TERM
38,как,O
39,технология,B-TERM
40,лежит,O
41,в,O
42,основе,O
43,обучения,B-TERM
44,иностранным,I-TERM
45,языкам,I-TERM
46,.,O
