id,token,tag
0,В,
1,статье,
2,с,
3,позиций,
4,различения,
5,наблюдателей,B-TERM
6,",",
7,рассудочных,B-TERM
8,аналитиков,I-TERM
9,",",
10,синтетиков,B-TERM
11,рассматриваются,
12,отношения,B-TERM
13,мужчин,
14,и,
15,женщин,
16,",",
17,показаны,
18,проблемы,
19,взаимоотношений,B-TERM
20,",",
21,специфичные,
22,для,
23,освоения,B-TERM
24,творческого,B-TERM
25,поведения,I-TERM
26,.,
27,Работа,
28,направлена,
29,на,
30,уменьшение,
31,препятствий,
32,психологическому,B-TERM
33,развитию,I-TERM
34,",",
35,на,
36,повышение,
37,вероятности,
38,правильных,
39,выборов,
40,близких,B-TERM
41,взаимоотношений,I-TERM
42,.,
