id,token,tag
0,Психологический,B-TERM
1,облик,I-TERM
2,в,O
3,статье,O
4,определяется,O
5,с,O
6,позиций,O
7,баланса,O
8,активностей,O
9,художественно,O
10,-,O
11,образного,O
12,и,O
13,понятийно,O
14,-,O
15,логического,O
16,познания,B-TERM
17,или,O
18,дисбаланса,O
19,",",O
20,проявляющегося,O
21,в,O
22,личностных,B-TERM
23,отношениях,I-TERM
24,.,O
25,Рассматривается,O
26,психологическое,B-TERM
27,развитие,I-TERM
28,",",O
29,связь,O
30,«,O
31,взрослого,B-TERM
32,»,O
33,и,O
34,«,O
35,детского,B-TERM
36,»,O
37,в,O
38,творчестве,O
39,",",O
40,отклонения,O
41,в,O
42,творческом,B-TERM
43,поведении,I-TERM
44,",",O
45,крайности,O
46,в,O
47,поведении,O
48,студентов,B-TERM
49,",",O
50,амбивалентность,B-TERM
51,",",O
52,алкогольные,O
53,опьянения,O
54,и,O
55,протрезвления,O
56,",",O
57,проблема,O
58,толерантных,O
59,отношений,O
60,",",O
61,лучшие,O
62,условия,O
63,воспитания,B-TERM
64,в,O
65,детстве,O
66,",",O
67,система,B-TERM
68,психологических,I-TERM
69,знаний,I-TERM
70,",",O
71,связанная,O
72,с,O
73,изучаемыми,O
74,изменениями,O
75,.,O
