id,token,tag
0,Рассматриваются,O
1,проблемы,O
2,углубленного,B-TERM
3,обучения,I-TERM
4,математике,B-TERM
5,старших,B-TERM
6,школьников,I-TERM
7,в,O
8,условиях,O
9,Специализированного,B-TERM
10,учебно,I-TERM
11,-,I-TERM
12,научного,I-TERM
13,центра,I-TERM
14,Новосибирского,O
15,госуниверситета,O
16,(,O
17,СУНЦ,O
18,),O
19,.,O
20,На,O
21,примере,O
22,ряда,O
23,тем,O
24,подробно,O
25,рассмотрены,O
26,возникающие,O
27,ошибки,O
28,учащихся,O
29,при,O
30,решении,O
31,задач,O
32,по,O
33,стереометрии,B-TERM
34,и,O
35,планиметрии,B-TERM
36,.,O
37,Проанализированы,O
38,причины,O
39,их,O
40,возникновения,O
41,",",O
42,приведены,O
43,конкретные,O
44,опорные,B-TERM
45,геометрические,I-TERM
46,конструкции,I-TERM
47,для,O
48,анализа,O
49,возникающих,O
50,ошибок,B-TERM
51,",",O
52,практической,B-TERM
53,работы,I-TERM
54,учителей,B-TERM
55,и,O
56,самостоятельной,B-TERM
57,работы,I-TERM
58,учащихся,B-TERM
59,.,O
60,Отмечены,O
61,преимущества,O
62,и,O
63,недостатки,O
64,различных,O
65,подходов,O
66,к,O
67,решению,B-TERM
68,нестандартных,I-TERM
69,задач,I-TERM
70,.,O
71,Даны,O
72,конкретные,O
73,рекомендации,O
74,по,O
75,оптимизации,O
76,решений,O
77,.,O
78,Отдельное,O
79,внимание,O
80,уделено,O
81,задачам,B-TERM
82,с,I-TERM
83,несколькими,I-TERM
84,вариантами,I-TERM
85,решений,I-TERM
86,.,O
