id,token,tag
0,Представлены,O
1,результаты,O
2,анализа,B-TERM
3,материалов,I-TERM
4,погребения,I-TERM
5,воина,B-TERM
6,",",O
7,раскопанного,O
8,в,O
9,составе,O
10,некрополя,B-TERM
11,эпохи,B-TERM
12,Великого,I-TERM
13,переселения,I-TERM
14,народов,I-TERM
15,Карбан,I-TERM
16,I,O
17,(,O
18,Северный,B-TERM
19,Алтай,I-TERM
20,),O
21,.,O
22,Основные,O
23,признаки,O
24,захоронения,B-TERM
25,(,O
26,небольшая,O
27,каменная,O
28,наземная,O
29,конструкция,B-TERM
30,овальной,O
31,формы,O
32,;,O
33,одиночная,B-TERM
34,ингумация,I-TERM
35,без,O
36,лошади,O
37,;,O
38,ориентировка,B-TERM
39,человека,O
40,головой,O
41,в,O
42,западный,B-TERM
43,сектор,I-TERM
44,горизонта,I-TERM
45,с,O
46,отклонением,B-TERM
47,на,I-TERM
48,север,I-TERM
49,;,O
50,неглубокая,O
51,могильная,O
52,яма,O
53,),O
54,позволяют,O
55,отнести,O
56,данный,O
57,объект,B-TERM
58,к,O
59,памятникам,B-TERM
60,карбанской,I-TERM
61,традиции,I-TERM
62,обрядовой,I-TERM
63,практики,I-TERM
64,населения,O
65,булан,B-TERM
66,-,I-TERM
67,кобинской,I-TERM
68,археологической,I-TERM
69,культуры,I-TERM
70,.,O
71,Морфологический,B-TERM
72,анализ,I-TERM
73,различных,O
74,категорий,O
75,сопроводительного,O
76,инвентаря,B-TERM
77,и,O
78,их,O
79,сопоставление,O
80,с,O
81,вещественными,B-TERM
82,материалами,I-TERM
83,из,O
84,комплексов,B-TERM
85,Центральной,B-TERM
86,Азии,I-TERM
87,стали,O
88,основанием,O
89,для,O
90,определения,O
91,датировки,B-TERM
92,комплекса,B-TERM
93,в,O
94,рамках,O
95,II,O
96,–,O
97,III,O
98,вв,O
99,.,O
100,н,O
101,.,O
102,э,O
103,.,O
104,Установлен,O
105,довольно,O
106,высокий,O
107,прижизненный,O
108,статус,B-TERM
109,умершего,O
110,человека,O
111,",",O
112,который,O
113,",",O
114,судя,O
115,по,O
116,составу,O
117,предметного,B-TERM
118,комплекса,I-TERM
119,",",O
120,являлся,O
121,профессиональным,O
122,воином,B-TERM
123,",",O
124,относившимся,O
125,к,O
126,социально,B-TERM
127,привилегированной,I-TERM
128,группе,I-TERM
129,населения,I-TERM
130,сяньбийского,B-TERM
131,периода,I-TERM
132,",",O
133,хоронившей,O
134,в,O
135,устье,O
136,р,O
137,.,O
138,Карбан,O
139,.,O
