id,token,tag
0,Восемьдесят,O
1,два,O
2,года,O
3,назад,O
4,произошло,O
5,знаменательное,O
6,для,O
7,российской,O
8,исторической,O
9,науки,O
10,событие,O
11,-,O
12,на,O
13,о,O
14,.,O
15,Фаддей,O
16,Северный,O
17,в,O
18,море,O
19,Лаптевых,O
20,членами,O
21,экипажа,O
22,гидрографического,B-TERM
23,судна,I-TERM
24,«,I-TERM
25,Норд,I-TERM
26,»,I-TERM
27,был,O
28,открыт,O
29,уникальный,O
30,памятник,B-TERM
31,культуры,I-TERM
32,русских,B-TERM
33,полярных,I-TERM
34,мореходов,I-TERM
35,XVII,B-TERM
36,века,I-TERM
37,.,O
38,Артефакты,B-TERM
39,",",O
40,собранные,O
41,представителями,O
42,трёх,O
43,экспедиций,O
44,(,O
45,Восточно,B-TERM
46,-,I-TERM
47,Таймырской,I-TERM
48,экспедицией,I-TERM
49,АНИИ,I-TERM
50,Главсеморпути,I-TERM
51,(,O
52,1940,O
53,-,O
54,1941,O
55,),O
56,",",O
57,экспедицией,B-TERM
58,АНИИ,I-TERM
59,Главсеморпути,I-TERM
60,и,I-TERM
61,ИИМК,I-TERM
62,(,O
63,1945,O
64,),O
65,",",O
66,экспедицией,B-TERM
67,Министерства,I-TERM
68,Морского,I-TERM
69,флота,I-TERM
70,(,O
71,1970,O
72,-,O
73,1972,O
74,),O
75,на,O
76,этих,O
77,двух,O
78,местонахождениях,B-TERM
79,были,O
80,подвергнуты,O
81,",",O
82,сначала,O
83,предварительному,O
84,описанию,O
85,",",O
86,а,O
87,затем,O
88,изучению,O
89,по,O
90,функциональным,B-TERM
91,группам,I-TERM
92,.,O
93,В,O
94,статье,O
95,публикуются,O
96,результаты,O
97,определения,O
98,условий,O
99,местоположения,O
100,именных,B-TERM
101,ножей,I-TERM
102,с,I-TERM
103,надписями,I-TERM
104,",",O
105,как,O
106,важной,O
107,информационно,O
108,насыщенней,O
109,группы,O
110,артефактов,B-TERM
111,",",O
112,полученные,O
113,методом,B-TERM
114,сравнительного,I-TERM
115,анализа,I-TERM
116,отчетной,O
117,документации,O
118,",",O
119,сделанной,O
120,участниками,O
121,экспедиций,O
122,1940,O
123,и,O
124,1945,O
125,гг,O
126,.,O
127,Применение,O
128,метода,B-TERM
129,3D,I-TERM
130,моделирования,I-TERM
131,",",O
132,разработанного,O
133,Лабораторией,B-TERM
134,RSSDA,I-TERM
135,для,O
136,чтения,O
137,надписей,O
138,на,O
139,ножах,O
140,позволило,O
141,выдвинуть,O
142,новую,O
143,версию,O
144,прочтения,O
145,имени,O
146,владельца,O
147,–,O
148,возможного,O
149,руководителя,O
150,этой,O
151,русской,B-TERM
152,полярной,I-TERM
153,экспедиции,I-TERM
154,XVII,B-TERM
155,века,I-TERM
156,.,O
