id,token,tag
0,Представлены,O
1,результаты,O
2,исследования,O
3,ямы,B-TERM
4,-,I-TERM
5,хранилища,I-TERM
6,для,O
7,рыбных,O
8,припасов,O
9,1741,O
10,памятника,B-TERM
11,Тартас,I-TERM
12,-,I-TERM
13,1,I-TERM
14,.,O
15,Памятник,B-TERM
16,является,O
17,базовым,O
18,для,O
19,изучения,O
20,барабинской,B-TERM
21,культуры,I-TERM
22,раннего,B-TERM
23,неолита,I-TERM
24,.,O
25,Сегодня,O
26,культура,O
27,обеспечена,O
28,набором,O
29,памятников,B-TERM
30,",",O
31,хозяйственными,O
32,и,O
33,бытовыми,O
34,объектами,O
35,",",O
36,культовым,B-TERM
37,комплексом,I-TERM
38,",",O
39,серией,B-TERM
40,радиоуглеродных,I-TERM
41,дат,I-TERM
42,.,O
43,В,O
44,результате,O
45,многолетних,O
46,исследований,O
47,рыбных,B-TERM
48,ям,I-TERM
49,предложена,O
50,методика,O
51,их,O
52,раскопок,B-TERM
53,.,O
54,В,O
55,полевой,B-TERM
56,сезон,I-TERM
57,2021,O
58,г,O
59,.,O
60,по,O
61,данной,O
62,методике,O
63,раскопана,O
64,яма,B-TERM
65,1741,O
66,.,O
67,По,O
68,характеристикам,O
69,относится,O
70,к,O
71,типу,O
72,объектов,O
73,с,O
74,диаметром,O
75,более,O
76,1,O
77,м,O
78,и,O
79,глубиной,O
80,более,O
81,2,O
82,м,O
83,.,O
84,Ее,O
85,особенностью,O
86,является,O
87,отсутствие,O
88,приклада,B-TERM
89,в,O
90,виде,O
91,какого,O
92,-,O
93,либо,O
94,животного,O
95,",",O
96,фиксируемых,O
97,в,O
98,других,O
99,подобных,O
100,ямах,O
101,.,O
102,Из,O
103,орудия,B-TERM
104,на,O
105,роге,O
106,животного,O
107,(,O
108,тур,O
109,?),O
110,получена,O
111,дата,B-TERM
112,",",O
113,которая,O
114,коррелируется,O
115,с,O
116,датами,O
117,из,O
118,других,O
119,объектов,O
120,.,O
121,Яма,B-TERM
122,1741,I-TERM
123,датируется,O
124,VII,B-TERM
125,тыс,I-TERM
126,.,I-TERM
127,до,I-TERM
128,н,I-TERM
129,.,I-TERM
130,э,I-TERM
131,.,O
