id,token,tag
0,Статья,O
1,посвящена,O
2,результатам,O
3,анализа,B-TERM
4,серии,I-TERM
5,образцов,I-TERM
6,митохондриальной,B-TERM
7,ДНК,I-TERM
8,(,O
9,N,O
10,#ERROR!,O
11,25,O
12,),O
13,из,O
14,могильников,B-TERM
15,окуневской,B-TERM
16,культуры,I-TERM
17,Минусинской,B-TERM
18,котловины,I-TERM
19,.,O
20,Проведенное,O
21,исследование,O
22,позволило,O
23,почти,O
24,вдвое,O
25,увеличить,O
26,суммарную,O
27,численность,O
28,успешно,O
29,исследованных,O
30,окуневских,O
31,образцов,O
32,мтДНК,B-TERM
33,.,O
34,Исследованная,O
35,нами,O
36,серия,O
37,образцов,O
38,из,O
39,могильника,B-TERM
40,Сыда,O
41,V,O
42,(,O
43,N,O
44,#ERROR!,O
45,23,O
46,),O
47,является,O
48,первой,O
49,репрезентативной,O
50,локально,O
51,-,O
52,территориальной,O
53,серией,O
54,образцов,O
55,мтДНК,B-TERM
56,для,O
57,популяции,O
58,окуневской,B-TERM
59,культуры,I-TERM
60,региона,O
61,.,O
62,Полученные,O
63,нами,O
64,новые,O
65,результаты,O
66,и,O
67,опубликованные,O
68,данные,O
69,обсуждаются,O
70,в,O
71,контексте,O
72,проблемы,O
73,формирования,O
74,генетического,O
75,состава,O
76,носителей,O
77,культуры,O
78,и,O
79,их,O
80,роли,O
81,в,O
82,дальнейшей,O
83,генетической,O
84,истории,O
85,населения,O
86,южных,O
87,районов,O
88,Сибири,O
89,.,O
90,Согласно,O
91,имеющимся,O
92,данным,O
93,",",O
94,ключевую,O
95,роль,O
96,в,O
97,формировании,O
98,окуневской,B-TERM
99,популяции,I-TERM
100,играли,O
101,генетические,O
102,компоненты,O
103,",",O
104,связанные,O
105,с,O
106,автохтонным,B-TERM
107,населением,I-TERM
108,региона,O
109,",",O
110,предшествовавшим,O
111,появлению,O
112,на,O
113,юге,O
114,Сибири,O
115,афанасьевских,B-TERM
116,популяций,I-TERM
117,.,O
118,Для,O
119,более,O
120,детальных,O
121,реконструкций,B-TERM
122,требуется,O
123,накопление,O
124,дополнительных,O
125,репрезентативных,O
126,палеогенетических,B-TERM
127,данных,I-TERM
128,.,O
