id,token,tag
0,Рассматривается,O
1,линеаризованная,B-TERM
2,модель,I-TERM
3,совместного,I-TERM
4,движения,I-TERM
5,упругого,B-TERM
6,пористого,I-TERM
7,грунта,I-TERM
8,и,O
9,целиком,O
10,заполняющей,O
11,поровое,B-TERM
12,пространство,I-TERM
13,вязкой,B-TERM
14,сжимаемой,I-TERM
15,жидкости,I-TERM
16,с,O
17,учетом,O
18,теплопроводности,B-TERM
19,.,O
20,Считается,O
21,",",O
22,что,O
23,поровое,B-TERM
24,пространство,I-TERM
25,обладает,O
26,периодической,B-TERM
27,геометрией,I-TERM
28,и,O
29,что,O
30,модель,B-TERM
31,содержит,O
32,малый,B-TERM
33,параметр,I-TERM
34,-,O
35,отношение,O
36,характерных,O
37,размеров,O
38,микро,B-TERM
39,-,O
40,и,O
41,макроуровней,B-TERM
42,",",O
43,а,O
44,именно,O
45,длины,B-TERM
46,ребра,I-TERM
47,ячейки,I-TERM
48,периодичности,I-TERM
49,и,O
50,характерного,B-TERM
51,размера,I-TERM
52,полной,I-TERM
53,термомеханической,I-TERM
54,системы,I-TERM
55,.,O
56,Проводится,O
57,процедура,B-TERM
58,усреднения,I-TERM
59,",",O
60,т,O
61,.,O
62,е,O
63,.,O
64,предельный,B-TERM
65,переход,I-TERM
66,в,O
67,уравнениях,B-TERM
68,модели,I-TERM
69,при,O
70,стремлении,B-TERM
71,малого,B-TERM
72,параметра,I-TERM
73,к,O
74,нулю,B-TERM
75,.,O
76,При,O
77,этом,O
78,предполагается,O
79,",",O
80,что,O
81,физические,B-TERM
82,характеристики,I-TERM
83,отдельных,O
84,фаз,B-TERM
85,от,O
86,малого,B-TERM
87,параметра,I-TERM
88,не,O
89,зависят,O
90,.,O
91,В,O
92,результате,O
93,конструируется,O
94,корректно,O
95,поставленная,O
96,начально,B-TERM
97,-,I-TERM
98,краевая,I-TERM
99,задача,I-TERM
100,для,O
101,модели,B-TERM
102,линейной,I-TERM
103,термовязкоупругости,I-TERM
104,с,I-TERM
105,памятью,I-TERM
106,формы,I-TERM
107,и,I-TERM
108,тепла,I-TERM
109,",",O
110,решением,O
111,которой,O
112,являются,O
113,пределы,B-TERM
114,решений,I-TERM
115,исходной,I-TERM
116,задачи,I-TERM
117,",",O
118,и,O
119,коэффициенты,B-TERM
120,которой,O
121,однозначно,O
122,определяются,O
123,микроструктурой,B-TERM
124,.,O
125,Усреднение,B-TERM
126,проводится,O
127,методом,B-TERM
128,двухмасштабной,I-TERM
129,сходимости,I-TERM
130,и,O
131,математически,O
132,строго,O
133,обосновано,O
134,.,O
