id,token,tag
0,Рассматриваются,O
1,уравнения,B-TERM
2,гидродинамической,I-TERM
3,модели,I-TERM
4,слоистых,B-TERM
5,структур,I-TERM
6,в,O
7,присутствии,O
8,электрического,B-TERM
9,тока,I-TERM
10,.,O
11,Формулируется,O
12,линейная,B-TERM
13,задача,I-TERM
14,об,O
15,устойчивости,B-TERM
16,ударных,B-TERM
17,волн,I-TERM
18,в,O
19,такой,O
20,модели,B-TERM
21,.,O
22,Доказывается,O
23,некорректность,O
24,этой,O
25,задачи,O
26,",",O
27,что,O
28,означает,O
29,неустойчивость,B-TERM
30,ударных,B-TERM
31,волн,I-TERM
32,для,O
33,данной,O
34,модели,B-TERM
35,слоистых,B-TERM
36,структур,I-TERM
37,.,O
