id,token,tag
0,Представлены,O
1,результаты,O
2,изучения,O
3,одного,O
4,из,O
5,показательных,O
6,объектов,O
7,",",O
8,исследованного,O
9,в,O
10,составе,O
11,некрополя,B-TERM
12,эпохи,O
13,Великого,B-TERM
14,переселения,I-TERM
15,народов,I-TERM
16,Карбан,B-TERM
17,-,I-TERM
18,I,I-TERM
19,(,O
20,Северный,B-TERM
21,Алтай,I-TERM
22,),O
23,.,O
24,Основные,O
25,признаки,O
26,ингумации,B-TERM
27,(,O
28,одиночное,B-TERM
29,трупоположение,I-TERM
30,;,O
31,ориентировка,O
32,головой,O
33,в,O
34,западный,B-TERM
35,сектор,I-TERM
36,горизонта,I-TERM
37,с,O
38,отклонением,O
39,на,O
40,север,O
41,),O
42,позволяют,O
43,отнести,O
44,погребение,B-TERM
45,к,O
46,карбанской,B-TERM
47,традиции,I-TERM
48,обрядовой,B-TERM
49,практики,I-TERM
50,кочевников,B-TERM
51,булан,B-TERM
52,-,I-TERM
53,кобинской,I-TERM
54,археологической,I-TERM
55,культуры,I-TERM
56,.,O
57,Морфологический,B-TERM
58,анализ,I-TERM
59,предметов,O
60,вооружения,O
61,",",O
62,снаряжения,O
63,",",O
64,а,O
65,также,O
66,орудий,B-TERM
67,труда,I-TERM
68,и,O
69,их,O
70,сопоставление,O
71,с,O
72,вещественными,O
73,материалами,O
74,из,O
75,комплексов,O
76,Центральной,O
77,Азии,O
78,стали,O
79,основанием,O
80,для,O
81,определения,O
82,датировки,B-TERM
83,комплекса,B-TERM
84,в,O
85,рамках,O
86,II,O
87,–,O
88,III,O
89,вв,B-TERM
90,.,I-TERM
91,н,I-TERM
92,.,I-TERM
93,э,I-TERM
94,.,I-TERM
95,Установлен,O
96,довольно,O
97,высокий,O
98,прижизненный,O
99,статус,B-TERM
100,умершего,O
101,человека,O
102,",",O
103,который,O
104,",",O
105,судя,O
106,по,O
107,составу,O
108,инвентаря,B-TERM
109,",",O
110,являлся,O
111,профессиональным,B-TERM
112,легковооруженным,I-TERM
113,воином,I-TERM
114,среднего,I-TERM
115,звена,I-TERM
116,в,O
117,иерархии,B-TERM
118,населения,O
119,Алтая,O
120,сяньбийского,B-TERM
121,времени,I-TERM
122,.,O
