id,token,tag
0,В,O
1,статье,O
2,представлены,O
3,результаты,O
4,разработки,O
5,проблемного,O
6,задания,O
7,к,O
8,учебной,O
9,дисциплине,O
10,«,O
11,Археологическое,O
12,наследие,O
13,Алтая,O
14,»,O
15,",",O
16,изучаемой,O
17,студентами,O
18,второго,O
19,курса,O
20,Института,O
21,истории,O
22,",",O
23,социальных,O
24,коммуникаций,O
25,и,O
26,права,O
27,Алтайского,O
28,государственного,O
29,педагогического,O
30,университета,O
31,",",O
32,обучающихся,O
33,по,O
34,направлению,O
35,подготовки,O
36,«,O
37,Туризм,O
38,»,O
39,.,O
40,Обсуждается,O
41,корректность,O
42,интерпретации,O
43,археологической,B-TERM
44,находки,I-TERM
45,–,O
46,железного,O
47,чекана,B-TERM
48,из,O
49,могилы,B-TERM
50,3,O
51,кургана,B-TERM
52,15,O
53,Новотроицкого,O
54,-,O
55,2,O
56,",",O
57,на,O
58,обухе,B-TERM
59,которого,O
60,предполагается,O
61,наличие,O
62,антропоморфного,O
63,изображения,O
64,.,O
65,На,O
66,основе,O
67,изучения,O
68,истории,O
69,обнаружения,O
70,чекана,B-TERM
71,",",O
72,сличения,B-TERM
73,его,O
74,прорисовки,B-TERM
75,в,O
76,публикациях,O
77,",",O
78,текущего,O
79,состояния,O
80,с,O
81,фотографией,O
82,",",O
83,сделанной,O
84,после,O
85,обнаружения,O
86,находки,O
87,",",O
88,высказываются,O
89,сомнения,O
90,в,O
91,достоверности,O
92,принятой,O
93,в,O
94,литературе,O
95,интерпретации,O
96,.,O
97,Обсуждаются,O
98,возможности,O
99,использования,O
100,данного,O
101,дискуссионного,O
102,сюжета,O
103,в,O
104,вузовской,O
105,образовательной,O
106,практике,O
107,.,O
108,Автор,O
109,приходит,O
110,к,O
111,выводу,O
112,о,O
113,перспективности,O
114,учебных,O
115,проектов,O
116,",",O
117,предполагающих,O
118,поливариативность,O
119,суждений,O
120,.,O
