id,token,tag
0,Экспериментальные,
1,данные,
2,давно,
3,и,
4,по,
5,достоинству,
6,оценены,
7,в,
8,реконструкции,B-TERM
9,археологически,
10,фиксируемых,
11,явлений,
12,.,
13,Простые,
14,на,
15,первый,
16,взгляд,
17,процедуры,
18,",",
19,способы,
20,их,
21,реализации,
22,могут,
23,вызвать,
24,острые,
25,дискуссии,
26,среди,
27,исследователей,
28,.,
29,Cкрепление,
30,кож,
31,и,
32,шкур,
33,сложно,
34,представить,
35,без,
36,участия,
37,иглы,
38,и,
39,нити,
40,",",
41,но,
42,всегда,
43,ли,
44,мы,
45,имеем,
46,верные,
47,представления,
48,об,
49,их,
50,использовании,
51,в,
52,глубокой,
53,древности,
54,",",
55,можно,
56,ли,
57,подтвердить,
58,наши,
59,представления,
60,экспериментальным,
61,образом,
62,?,
63,Поиск,
64,ответа,
65,на,
66,данный,
67,вопрос,
68,лег,
69,в,
70,основу,
71,эксперимента,
72,",",
73,основные,
74,этапы,
75,реализации,
76,которого,
77,изложены,
78,в,
79,статье,
80,.,
81,Его,
82,цель,
83,–,
84,получение,
85,и,
86,анализ,
87,следов,B-TERM
88,утилизации,I-TERM
89,",",
90,динамика,
91,и,
92,специфика,
93,их,
94,формирования,
95,на,
96,костяной,B-TERM
97,игле,I-TERM
98,(,
99,с,
100,нитью,
101,из,
102,сухожилий,
103,),
104,в,
105,условиях,
106,перфорации,B-TERM
107,фрагмента,B-TERM
108,грубо,
109,выделанной,
110,шкуры,
111,.,
112,Целью,
113,сообщения,
114,является,
115,презентация,
116,полученных,
117,результатов,
118,и,
119,их,
120,интерпретация,
121,.,
122,В,
123,исследовании,
124,представлены,
125,результаты,
126,изготовления,
127,и,
128,использования,
129,иглы,
130,",",
131,выполненной,
132,из,
133,щепы,
134,бивня,
135,мамонта,
136,для,
137,перфорации,B-TERM
138,шкуры,
139,грубой,
140,выделки,
141,.,
142,Особое,
143,внимание,
144,уделено,
145,описанию,
146,видоизменения,
147,инструмента,
148,в,
149,ходе,
150,указанной,
151,процедуры,
152,и,
153,обсуждению,
154,следов,B-TERM
155,утилизации,I-TERM
156,",",
157,сформированных,
158,на,
159,его,
160,поверхности,
161,в,
162,процессе,
163,сотни,
164,перфораций,B-TERM
165,.,
166,Полученные,
167,данные,
168,позволяют,
169,аргументировано,
170,обсуждать,
171,отдельные,
172,этапы,
173,как,
174,изготовления,
175,",",
176,так,
177,и,
178,использования,
179,аналогичных,
180,изделий,
181,;,
182,быстроту,
183,формирования,
184,на,
185,поверхности,
186,инструментов,
187,типичных,
188,признаков,
189,деятельности,
190,.,
191,Полученные,
192,образцы,
193,следов,
194,позволят,
195,выделить,
196,круг,
197,инструментов,
198,",",
199,привлекаемых,
200,к,
201,перфорированию,B-TERM
202,грубых,
203,материалов,
204,и,
205,могут,
206,быть,
207,включены,
208,в,
209,коллекцию,
210,эталонов,
211,реконструируемых,B-TERM
212,процедур,I-TERM
213,.,
