id,token,tag
0,Статья,O
1,посвящена,O
2,исследованию,O
3,особенностей,O
4,интеллекта,B-TERM
5,человека,O
6,и,O
7,интеллекта,B-TERM
8,сложных,B-TERM
9,компьютерных,I-TERM
10,систем,I-TERM
11,",",O
12,обычно,O
13,именуемого,O
14,искусственным,B-TERM
15,интеллектом,I-TERM
16,(,O
17,ИИ,B-TERM
18,),O
19,.,O
20,В,O
21,качестве,O
22,гипотезы,O
23,сформулировано,O
24,положение,O
25,о,O
26,принципиальной,O
27,разнице,O
28,между,O
29,человеческим,O
30,и,O
31,искусственным,B-TERM
32,интеллектом,I-TERM
33,.,O
34,Человеческий,O
35,интеллект,B-TERM
36,представляет,O
37,собой,O
38,продукт,O
39,многотысячелетней,O
40,истории,O
41,развития,O
42,и,O
43,взаимодействия,O
44,трех,O
45,взаимосвязанных,O
46,процессов,O
47,:,O
48,1,O
49,),O
50,становления,O
51,и,O
52,развития,O
53,человеческой,B-TERM
54,личности,I-TERM
55,;,O
56,2,O
57,),O
58,формирования,O
59,сложных,O
60,сетевых,B-TERM
61,отношений,I-TERM
62,между,O
63,членами,O
64,социального,B-TERM
65,сообщества,I-TERM
66,;,O
67,3,O
68,),O
69,коллективной,B-TERM
70,деятельности,I-TERM
71,как,O
72,основы,O
73,существования,O
74,и,O
75,развития,O
76,сообществ,B-TERM
77,и,O
78,индивидов,B-TERM
79,.,O
80,Искусственный,B-TERM
81,интеллект,I-TERM
82,представляет,O
83,собой,O
84,комплекс,B-TERM
85,технологических,I-TERM
86,решений,I-TERM
87,",",O
88,имитирующих,O
89,когнитивные,B-TERM
90,процессы,I-TERM
91,человека,O
92,.,O
93,В,O
94,силу,O
95,этого,O
96,при,O
97,всех,O
98,вариантах,O
99,технического,O
100,развития,O
101,(,O
102,ускорение,O
103,процессов,O
104,по,O
105,сбору,B-TERM
106,и,O
107,обработке,B-TERM
108,данных,I-TERM
109,и,O
110,поиску,B-TERM
111,решений,I-TERM
112,",",O
113,использование,O
114,компьютерного,B-TERM
115,зрения,I-TERM
116,",",O
117,распознавание,B-TERM
118,и,O
119,синтез,B-TERM
120,речи,I-TERM
121,и,O
122,т,O
123,.,O
124,д,O
125,.,O
126,),O
127,ИИ,B-TERM
128,всегда,O
129,будет,O
130,связан,O
131,с,O
132,деятельностью,O
133,человека,O
134,.,O
135,Другими,O
136,словами,O
137,",",O
138,только,O
139,люди,O
140,(,O
141,а,O
142,не,O
143,машины,O
144,),O
145,являются,O
146,конечным,O
147,источником,O
148,и,O
149,определителем,O
150,ценностей,O
151,",",O
152,от,O
153,которых,O
154,зависит,O
155,любой,O
156,ИИ,B-TERM
157,.,O
158,Никакой,O
159,разум,O
160,(,O
161,человека,O
162,или,O
163,машины,O
164,),O
165,никогда,O
166,не,O
167,будет,O
168,по,O
169,-,O
170,настоящему,O
171,автономным,O
172,:,O
173,всё,O
174,",",O
175,что,O
176,мы,O
177,делаем,O
178,",",O
179,зависит,O
180,от,O
181,социального,B-TERM
182,контекста,I-TERM
183,",",O
184,созданного,O
185,другими,O
186,людьми,O
187,",",O
188,которые,O
189,определяют,O
190,смысл,O
191,того,O
192,",",O
193,что,O
194,мы,O
195,хотим,O
196,достичь,O
197,.,O
198,Это,O
199,означает,O
200,",",O
201,что,O
202,за,O
203,всё,O
204,",",O
205,что,O
206,делает,O
207,ИИ,B-TERM
208,",",O
209,отвечают,O
210,люди,O
211,.,O
