id,token,tag
0,Представлены,O
1,результаты,O
2,археологической,B-TERM
3,разведки,I-TERM
4,2021,O
5,г,O
6,.,O
7,по,O
8,западному,O
9,(,O
10,левому,O
11,),O
12,берегу,O
13,Красноярского,B-TERM
14,водохранилища,I-TERM
15,в,O
16,районе,O
17,Коксинского,B-TERM
18,залива,I-TERM
19,на,O
20,территории,O
21,Боградского,B-TERM
22,района,I-TERM
23,Республики,B-TERM
24,Хакасия,I-TERM
25,.,O
26,В,O
27,процессе,O
28,полевого,B-TERM
29,исследования,I-TERM
30,на,O
31,горе,B-TERM
32,Большой,I-TERM
33,Тогуртаг,I-TERM
34,был,O
35,выявлен,O
36,ранее,O
37,неизвестный,O
38,научному,O
39,сообществу,O
40,культурно,B-TERM
41,-,I-TERM
42,исторический,I-TERM
43,объект,I-TERM
44,–,O
45,каменоломня,B-TERM
46,",",O
47,предположительно,O
48,",",O
49,средневекового,B-TERM
50,времени,I-TERM
51,",",O
52,сопровождавшаяся,O
53,похожими,O
54,на,O
55,кыргызские,O
56,курганами,B-TERM
57,в,O
58,виде,O
59,округлых,O
60,каменных,B-TERM
61,выкладок,I-TERM
62,среднего,O
63,размера,O
64,",",O
65,получивших,O
66,в,O
67,ходе,O
68,более,O
69,ранних,O
70,разведочных,O
71,работ,O
72,название,O
73,«,O
74,могильник,B-TERM
75,Кокса,I-TERM
76,-,I-TERM
77,24,I-TERM
78,»,O
79,.,O
80,Каменоломня,B-TERM
81,служила,O
82,для,O
83,добычи,O
84,камня,O
85,с,O
86,целью,O
87,его,O
88,дальнейшего,O
89,использования,O
90,",",O
91,в,O
92,том,O
93,числе,O
94,при,O
95,строительстве,O
96,этих,O
97,курганов,B-TERM
98,",",O
99,о,O
100,чем,O
101,свидетельствуют,O
102,небольшое,O
103,расстояние,O
104,между,O
105,ними,O
106,и,O
107,каменоломней,B-TERM
108,(,O
109,около,O
110,150,O
111,м,O
112,к,O
113,юго,B-TERM
114,-,I-TERM
115,востоку,I-TERM
116,),O
117,",",O
118,а,O
119,также,O
120,схожий,O
121,тип,B-TERM
122,породы,I-TERM
123,камня,I-TERM
124,в,O
125,обоих,O
126,пунктах,O
127,(,O
128,имеет,O
129,магматическое,B-TERM
130,происхождение,I-TERM
131,),O
132,.,O
133,Согласно,O
134,имеющимся,O
135,данным,O
136,",",O
137,ранее,O
138,о,O
139,каменоломне,B-TERM
140,на,O
141,этой,O
142,территории,O
143,в,O
144,научной,O
145,литературе,O
146,не,O
147,упоминались,O
148,.,O
149,В,O
150,связи,O
151,с,O
152,этим,O
153,ее,O
154,изучение,O
155,представляется,O
156,весьма,O
157,актуальным,O
158,и,O
159,целесообразным,O
160,для,O
161,формирования,O
162,полноты,O
163,картины,O
164,о,O
165,возможных,O
166,миграциях,B-TERM
167,енисейских,B-TERM
168,кыргызов,I-TERM
169,",",O
170,в,O
171,частности,O
172,с,O
173,территории,O
174,Усинской,B-TERM
175,долины,I-TERM
176,в,O
177,Западном,B-TERM
178,Саяне,I-TERM
179,в,O
180,Минусинскую,B-TERM
181,котловину,I-TERM
182,.,O
183,Это,O
184,позволит,O
185,установить,O
186,некоторые,O
187,особенности,O
188,происхождения,O
189,средневековых,B-TERM
190,археологических,I-TERM
191,памятников,I-TERM
192,левобережья,O
193,Среднего,B-TERM
194,Енисея,I-TERM
195,.,O
