id,token,tag
0,В,O
1,работе,O
2,рассматривается,O
3,задача,B-TERM
4,календарного,I-TERM
5,планирования,I-TERM
6,проектов,I-TERM
7,с,O
8,учетом,O
9,ограничений,O
10,на,O
11,складируемые,O
12,ресурсы,O
13,и,O
14,критерием,B-TERM
15,чистой,I-TERM
16,приведенной,I-TERM
17,прибыли,I-TERM
18,.,O
19,Доказано,O
20,",",O
21,что,O
22,данная,O
23,задача,O
24,является,O
25,NP,B-TERM
26,-,I-TERM
27,трудной,I-TERM
28,в,O
29,сильном,O
30,смысле,O
31,.,O
32,Исследован,O
33,частный,B-TERM
34,случай,I-TERM
35,задачи,O
36,при,O
37,независимых,O
38,работах,O
39,.,O
40,Для,O
41,этого,O
42,случая,O
43,предложен,O
44,точный,B-TERM
45,алгоритм,I-TERM
46,решения,O
47,",",O
48,основанный,O
49,на,O
50,методе,B-TERM
51,динамического,I-TERM
52,программирования,I-TERM
53,.,O
54,Получены,O
55,необходимые,B-TERM
56,условия,I-TERM
57,",",O
58,при,O
59,которых,O
60,алгоритм,B-TERM
61,является,O
62,псевдополиномиальным,B-TERM
63,.,O
