id,token,tag
0,Учет,O
1,электропроводности,B-TERM
2,при,O
3,описании,O
4,равновесия,B-TERM
5,термоупругих,I-TERM
6,тел,I-TERM
7,",",O
8,как,O
9,правило,O
10,",",O
11,значительно,O
12,усложняет,O
13,математическую,B-TERM
14,модель,I-TERM
15,.,O
16,В,O
17,работе,O
18,доказывается,O
19,теорема,B-TERM
20,существования,I-TERM
21,смешанной,O
22,краевой,B-TERM
23,задачи,I-TERM
24,для,O
25,нелинейной,B-TERM
26,модели,I-TERM
27,",",O
28,учитывающей,O
29,влияние,O
30,температуры,B-TERM
31,и,O
32,электропроводности,B-TERM
33,на,O
34,процесс,O
35,деформирования,B-TERM
36,упругого,B-TERM
37,тела,I-TERM
38,.,O
