id,token,tag,nested_1,wiki_id
0,Мобильное,B-TERM,,"Q620615:0,1"
1,приложение,I-TERM,,
2,непрерывной,O,,
3,передачи,O,,
4,видеоданных,B-TERM,,
5,в,O,,
6,облачные,B-TERM,,"Q914359:6,7"
7,сервисы,I-TERM,,
,,,,
8,Представлен,O,,
9,способ,O,,
10,получения,O,,
11,видеодоказательств,B-TERM,,
12,с,O,,
13,помощью,O,,
14,мобильного,B-TERM,,"Q5082128:14,15"
15,устройства,I-TERM,,
16,–,O,,
17,приложения,B-TERM,,Q166142:17
18,для,O,,
19,Android,B-TERM,,Q94:19
20,",",O,,
21,позволяющего,O,,
22,оперативно,O,,
23,начать,O,,
24,видеотрансляцию,B-TERM,,
25,в,O,,
26,облачные,B-TERM,,"Q914359:26,27"
27,сервисы,I-TERM,,
28,.,O,,
29,Для,O,,
30,оперативности,O,,
31,запуска,O,,
32,пользователю,O,,
33,доступен,O,,
34,виджет,B-TERM,,Q605117:34
35,",",O,,
36,который,O,,
37,можно,O,,
38,разместить,O,,
39,на,O,,
40,экране,B-TERM,,
41,устройства,I-TERM,B-TERM,Q5082128:41
42,.,O,,
43,При,O,,
44,нажатии,O,,
45,на,O,,
46,виджет,B-TERM,,Q605117:46
47,начинается,O,,
48,видеосъемка,B-TERM,,Q4447845:48
49,и,O,,
50,отправка,O,,
51,получаемой,O,,
52,записи,O,,
53,в,O,,
54,облачный,B-TERM,,"Q914359:54,55"
55,сервис,I-TERM,,
56,",",O,,
57,необходимая,O,,
58,для,O,,
59,обеспечения,O,,
60,сохранности,O,,
61,уже,O,,
62,полученных,O,,
63,данных,O,,
64,даже,O,,
65,в,O,,
66,случае,O,,
67,повреждения,O,,
68,устройства,B-TERM,,Q5082128:68
69,.,O,,
70,Для,O,,
71,того,O,,
72,чтобы,O,,
73,в,O,,
74,непредвиденной,O,,
75,ситуации,O,,
76,",",O,,
77,повлекшей,O,,
78,за,O,,
79,собой,O,,
80,утрату,O,,
81,телефона,O,,
82,",",O,,
83,как,O,,
84,можно,O,,
85,больше,O,,
86,данных,O,,
87,оказалось,O,,
88,сохранено,O,,
89,на,O,,
90,облачном,B-TERM,,"Q914359:90,91"
91,сервисе,I-TERM,,
92,",",O,,
93,выбрана,O,,
94,малая,O,,
95,продолжительность,O,,
96,одного,O,,
97,передаваемого,O,,
98,фрагмента,O,,
99,–,O,,
100,одна,O,,
101,секунда,O,,
102,.,O,,
103,По,O,,
104,завершении,O,,
105,записи,O,,
106,пользователь,O,,
107,имеет,O,,
108,возможность,O,,
109,собрать,O,,
110,составляющие,O,,
111,записи,O,,
112,воедино,O,,
113,",",O,,
114,при,O,,
115,необходимости,O,,
116,загружая,O,,
117,недостающие,O,,
118,фрагменты,O,,
119,из,O,,
120,облачного,B-TERM,,"Q914359:120,121"
121,сервиса,I-TERM,,
122,.,O,,
123,Практическая,O,,
124,ценность,O,,
125,приложения,B-TERM,,Q166142:125
126,заключается,O,,
127,в,O,,
128,том,O,,
129,",",O,,
130,что,O,,
131,оно,O,,
132,позволяет,O,,
133,достаточно,O,,
134,быстро,O,,
135,и,O,,
136,надежно,O,,
137,фиксировать,O,,
138,события,O,,
139,",",O,,
140,а,O,,
141,собранные,O,,
142,видеоматериалы,B-TERM,,
143,могут,O,,
144,быть,O,,
145,полезны,O,,
146,как,O,,
147,в,O,,
148,судебных,O,,
149,процессах,O,,
150,",",O,,
151,так,O,,
152,и,O,,
153,для,O,,
154,самостоятельного,O,,
155,изучения,O,,
156,.,O,,
157,В,O,,
158,статье,O,,
159,проведен,O,,
160,анализ,O,,
161,существующих,O,,
162,решений,O,,
163,",",O,,
164,позволяющих,O,,
165,вести,O,,
166,видеотрансляцию,B-TERM,,
167,;,O,,
168,выявлены,O,,
169,их,O,,
170,недостатки,O,,
171,",",O,,
172,затрудняющие,O,,
173,использование,O,,
174,этих,O,,
175,средств,O,,
176,для,O,,
177,получения,O,,
178,доказательств,O,,
179,.,O,,
180,Рассмотрена,O,,
181,архитектура,B-TERM,B-TERM,"Q846636:181,182"
182,приложения,I-TERM,B-TERM,
183,",",O,,
184,построенная,O,,
185,на,O,,
186,базе,O,,
187,шаблона,B-TERM,,"Q44860:187,188,189"
188,проектирования,I-TERM,,
189,MVC,I-TERM,,
190,и,O,,
191,включающая,O,,
192,в,O,,
193,себя,O,,
194,6,O,,
195,модулей,B-TERM,,Q6889793:195
196,.,O,,
197,Описана,O,,
198,реализация,O,,
199,приложения,B-TERM,,Q166142:199
200,и,O,,
201,показан,O,,
202,разработанный,O,,
203,интерфейс,B-TERM,,Q782543:203
204,.,O,,
