id,token,tag,nested_1,nested_2,wiki_id
0,Разработка,B-TERM,,,
1,музыкальной,I-TERM,B-TERM,,
2,рекомендательной,I-TERM,I-TERM,B-TERM,"Q554950:2,3"
3,системы,I-TERM,I-TERM,I-TERM,
4,на,O,,,
5,основе,O,,,
6,обработки,B-TERM,,,
7,метаданных,I-TERM,,,
8,контента,I-TERM,,,
9,Музыкальная,B-TERM,,,
10,рекомендательная,I-TERM,B-TERM,,"Q554950:10,11"
11,система,I-TERM,I-TERM,,
12,(,O,,,
13,МРС,B-TERM,,,
14,),O,,,
15,помогает,O,,,
16,пользователям,B-TERM,,,Q613354:16
17,музыкальных,B-TERM,,,
18,стриминговых,I-TERM,,,
19,сервисов,I-TERM,,,
20,находить,O,,,
21,интересующий,O,,,
22,их,O,,,
23,музыкальный,B-TERM,,,
24,контент,I-TERM,,,
25,.,O,,,
26,Разреженность,B-TERM,,,
27,пользовательских,I-TERM,B-TERM,,
28,оценок,I-TERM,I-TERM,,
29,–,O,,,
30,одна,O,,,
31,из,O,,,
32,главных,O,,,
33,проблем,B-TERM,,,
34,исследования,I-TERM,,,
35,МРС,I-TERM,B-TERM,,
36,.,O,,,
37,Она,O,,,
38,вызвана,O,,,
39,тем,O,,,
40,",",O,,,
41,что,O,,,
42,пользователь,B-TERM,,,Q613354:42
43,оценивает,O,,,
44,лишь,O,,,
45,малую,O,,,
46,долю,O,,,
47,объектов,B-TERM,,,
48,музыкального,I-TERM,B-TERM,,"Q6941730:48,49"
49,каталога,I-TERM,I-TERM,,
50,.,O,,,
51,В,O,,,
52,результате,O,,,
53,МРС,B-TERM,,,
54,часто,O,,,
55,не,O,,,
56,обладает,O,,,
57,достаточным,O,,,
58,набором,B-TERM,,,"Q1172284:58,59"
59,данных,I-TERM,,,
60,для,O,,,
61,составления,O,,,
62,рекомендаций,B-TERM,,,
63,.,O,,,
64,В,O,,,
65,статье,O,,,
66,предложен,O,,,
67,подход,B-TERM,,,Q1799072:67
68,для,O,,,
69,решения,O,,,
70,проблемы,B-TERM,,,
71,разреженности,I-TERM,B-TERM,,
72,пользовательских,I-TERM,I-TERM,B-TERM,
73,оценок,I-TERM,I-TERM,I-TERM,
74,на,O,,,
75,основе,O,,,
76,использования,O,,,
77,оценок,B-TERM,,,
78,связанных,I-TERM,,,
79,объектов,I-TERM,,,
80,.,O,,,
81,Описана,O,,,
82,гибридная,B-TERM,,,
83,МРС,I-TERM,B-TERM,,
84,",",O,,,
85,использующая,O,,,
86,как,O,,,
87,нормализованные,O,,,
88,пользовательские,B-TERM,B-TERM,,
89,оценки,I-TERM,I-TERM,,
90,треков,I-TERM,B-TERM,,
91,",",O,,,
92,альбомов,B-TERM,,,Q482994:92
93,",",O,,,
94,артистов,B-TERM,,,Q177220:94
95,",",O,,,
96,жанров,B-TERM,,,Q483394:96
97,",",O,,,
98,так,O,,,
99,и,O,,,
100,информацию,O,,,
101,о,O,,,
102,связях,O,,,
103,между,O,,,
104,объектами,O,,,
105,разных,O,,,
106,типов,O,,,
107,.,O,,,
108,Произведена,O,,,
109,оценка,B-TERM,,,
110,эффективности,I-TERM,,,
111,разработанной,O,,,
112,МРС,B-TERM,,,
113,",",O,,,
114,а,O,,,
115,также,O,,,
116,произведен,O,,,
117,сравнительный,B-TERM,,,
118,анализ,I-TERM,,,
119,предложенного,I-TERM,,,
120,подхода,I-TERM,B-TERM,,Q1799072:120
121,с,O,,,
122,коллаборативным,B-TERM,,,
123,методом,I-TERM,,,
124,предсказания,I-TERM,,,
125,пользовательских,I-TERM,,,
126,предпочтений,I-TERM,,,
127,.,O,,,
