id,token,tag,nested_1,nested_2,wiki_id
0,Программная,B-TERM,,,
1,система,I-TERM,B-TERM,B-TERM,Q2429814:1
2,управления,I-TERM,I-TERM,,
3,образовательным,I-TERM,I-TERM,,
4,процессом,I-TERM,I-TERM,,
5,ИТОС,I-TERM,I-TERM,B-TERM,
6,Статья,O,,,
7,посвящена,O,,,
8,описанию,O,,,
9,программной,B-TERM,B-TERM,,"Q2429814:9,10"
10,системы,I-TERM,I-TERM,,
11,ИТОС,I-TERM,B-TERM,,
12,(,O,,,
13,индивидуальных,B-TERM,B-TERM,,
14,траекторий,I-TERM,I-TERM,,
15,обучения,I-TERM,I-TERM,,
16,студентов,I-TERM,B-TERM,,
17,"),",O,,,
18,предназначенной,O,,,
19,для,O,,,
20,автоматизации,B-TERM,,,
21,работы,I-TERM,,,
22,с,O,,,
23,основной,B-TERM,,,
24,образовательной,I-TERM,,,
25,программой,I-TERM,,,
26,(,O,,,
27,ООП,B-TERM,,,
28,),O,,,
29,и,O,,,
30,соответствующим,O,,,
31,ей,O,,,
32,учебным,B-TERM,,,"Q207137:32,33"
33,планом,I-TERM,,,
34,.,O,,,
35,В,O,,,
36,системе,B-TERM,,,Q2429814:36
37,реализована,O,,,
38,возможность,O,,,
39,отслеживать,O,,,
40,логику,B-TERM,,,
41,следования,I-TERM,,,
42,учебных,I-TERM,,,
43,курсов,I-TERM,,,
44,",",O,,,
45,что,O,,,
46,позволяет,O,,,
47,на,O,,,
48,этапе,O,,,
49,составления,O,,,
50,ООП,B-TERM,,,
51,выявлять,O,,,
52,необходимость,O,,,
53,перестановки,O,,,
54,или,O,,,
55,слияния,O,,,
56,дисциплин,O,,,
57,",",O,,,
58,а,O,,,
59,также,O,,,
60,достижимость,O,,,
61,всех,O,,,
62,заданных,O,,,
63,компетенций,B-TERM,,,Q2015382:63
64,.,O,,,
65,Имеется,O,,,
66,возможность,O,,,
67,устанавливать,O,,,
68,взаимосвязь,O,,,
69,между,O,,,
70,ООП,B-TERM,,,
71,и,O,,,
72,различными,O,,,
73,профессиональными,B-TERM,,,"Q16689098:73,74"
74,стандартами,I-TERM,,,
75,.,O,,,
76,В,O,,,
77,системе,B-TERM,,,Q2429814:77
78,реализован,O,,,
79,алгоритм,B-TERM,,,
80,построения,I-TERM,,,
81,и,I-TERM,,,
82,оценки,I-TERM,,,
83,всевозможных,I-TERM,,,
84,индивидуальных,I-TERM,B-TERM,B-TERM,
85,траекторий,I-TERM,I-TERM,I-TERM,
86,обучения,I-TERM,I-TERM,I-TERM,
87,студента,I-TERM,I-TERM,B-TERM,Q315247:87
88,в,O,,,
89,рамках,O,,,
90,данной,O,,,
91,ООП,B-TERM,,,
92,",",O,,,
93,а,O,,,
94,также,O,,,
95,модуль,B-TERM,,,
96,рекомендательной,I-TERM,B-TERM,,"Q554950:96,97"
97,системы,I-TERM,I-TERM,,
98,",",O,,,
99,помогающей,O,,,
100,пользователям,B-TERM,,,Q278368:100
101,(,O,,,
102,студентам,B-TERM,,,Q315247:102
103,),O,,,
104,в,O,,,
105,выборе,O,,,
106,индивидуальных,B-TERM,,,
107,траекторий,I-TERM,,,
108,обучения,I-TERM,,,
109,.,O,,,
