id,token,tag,nested_1,nested_2,wiki_id
0,Разработка,O,,,
1,системы,B-TERM,B-TERM,,
2,оценки,I-TERM,I-TERM,,
3,параметров,I-TERM,,,
4,цунами,I-TERM,B-TERM,,Q8070:4
5,у,O,,,
6,прибрежных,B-TERM,,,
7,территорий,I-TERM,,,
,,,,,
8,Проблема,O,,,
9,своевременного,O,,,
10,предупреждения,O,,,
11,населения,O,,,
12,об,O,,,
13,опасности,O,,,
14,цунами,B-TERM,,,Q8070:14
15,всё,O,,,
16,еще,O,,,
17,является,O,,,
18,актуальной,O,,,
19,на,O,,,
20,прибрежных,B-TERM,,,
21,территориях,I-TERM,,,
22,всего,O,,,
23,мира,O,,,
24,.,O,,,
25,Несмотря,O,,,
26,на,O,,,
27,то,O,,,
28,что,O,,,
29,цунами,B-TERM,,,Q8070:29
30,довольно,O,,,
31,редкое,O,,,
32,явление,B-TERM,,,Q16722960:32
33,",",O,,,
34,его,O,,,
35,последствия,O,,,
36,могут,O,,,
37,быть,O,,,
38,катастрофическими,O,,,
39,.,O,,,
40,В,O,,,
41,Академгородке,O,,,
42,многие,O,,,
43,годы,O,,,
44,занимаются,O,,,
45,разработкой,O,,,
46,и,O,,,
47,реализацией,O,,,
48,алгоритмов,B-TERM,B-TERM,B-TERM,Q8366:48
49,численного,I-TERM,I-TERM,B-TERM,"Q925667:49, 50"
50,моделирования,I-TERM,I-TERM,I-TERM,
51,цунами,I-TERM,B-TERM,,Q8070:51
52,",",O,,,
53,используемых,O,,,
54,для,O,,,
55,расчета,O,,,
56,параметров,O,,,
57,цунами,B-TERM,,,Q8070:57
58,у,O,,,
59,береговой,B-TERM,,,"Q1701967:59,60"
60,линии,I-TERM,,,
61,.,O,,,
62,Целью,O,,,
63,данной,O,,,
64,работы,O,,,
65,является,O,,,
66,объединение,O,,,
67,существующих,O,,,
68,реализаций,O,,,
69,алгоритмов,B-TERM,,,Q8366:69
70,",",O,,,
71,написанных,O,,,
72,на,O,,,
73,разных,O,,,
74,языках,B-TERM,,,"Q9143:74,75"
75,программирования,I-TERM,,,
76,(,O,,,
77,С,B-TERM,,,"Q2407:77,78"
78,"++,",I-TERM,,,
79,Си,B-TERM,,,Q15777:79
80,",",O,,,
81,Python,B-TERM,,,Q28865:81
82,",",O,,,
83,Kotlin,B-TERM,,,Q3816639:83
84,",",O,,,
85,Fortran,B-TERM,,,Q83303:85
86,и,O,,,
87,т,O,,,
88,.,O,,,
89,д,O,,,
90,".),",O,,,
91,в,O,,,
92,единую,O,,,
93,систему,B-TERM,,,Q58778:93
94,.,O,,,
95,Разработанная,O,,,
96,система,B-TERM,,,Q58778:93
97,позволит,O,,,
98,",",O,,,
99,принимая,O,,,
100,на,O,,,
101,вход,O,,,
102,данные,O,,,
103,о,O,,,
104,сейсмическом,B-TERM,,,"Q2692116:104, 105"
105,событии,I-TERM,,,
106,",",O,,,
107,рассчитывать,O,,,
108,параметры,O,,,
109,цунами,B-TERM,,,Q8070:109
110,у,O,,,
111,защищаемой,O,,,
112,береговой,B-TERM,,,"Q1701967:112,113"
113,линии,I-TERM,,,
114,.,O,,,
115,В,O,,,
116,статье,O,,,
117,рассмотрены,O,,,
118,основные,O,,,
119,этапы,O,,,
120,работы,O,,,
121,системы,B-TERM,,,Q58778:121
122,",",O,,,
123,такие,O,,,
124,как,O,,,
125,мониторинг,B-TERM,B-TERM,,Q2143522:125
126,сейсмической,I-TERM,B-TERM,,
127,активности,I-TERM,I-TERM,,
128,",",O,,,
129,извлечение,O,,,
130,данных,O,,,
131,с,O,,,
132,DART,B-TERM,,,"Q2071361:132,133"
133,станций,I-TERM,,,
134,",",O,,,
135,фильтрация,O,,,
136,приливной,B-TERM,,,
137,компоненты,I-TERM,,,
138,",",O,,,
139,расчет,O,,,
140,времени,O,,,
141,добегания,B-TERM,,,
142,волны,I-TERM,,,
143,и,O,,,
144,непосредственно,O,,,
145,моделирование,B-TERM,,,Q1116876:145
146,",",O,,,
147,и,O,,,
148,промежуточные,O,,,
149,шаги,O,,,
150,",",O,,,
151,связанные,O,,,
152,с,O,,,
153,предобработкой,O,,,
154,и,O,,,
155,трансформацией,O,,,
156,данных,O,,,
157,.,O,,,
158,Особое,O,,,
159,внимание,O,,,
160,уделяется,O,,,
161,разработке,B-TERM,,,Q638608:161
162,архитектуры,B-TERM,,,"Q477538:162,163"
163,системы,I-TERM,,,
164,",",O,,,
165,взаимодействие,O,,,
166,между,O,,,
167,модулями,B-TERM,,,Q6889793:167
168,построено,O,,,
169,таким,O,,,
170,образом,O,,,
171,",",O,,,
172,чтобы,O,,,
173,в,O,,,
174,дальнейшем,O,,,
175,реализации,O,,,
176,алгоритмов,B-TERM,,,Q8366:176
177,могли,O,,,
178,дорабатываться,O,,,
179,и,O,,,
180,беспрепятственно,O,,,
181,встраиваться,O,,,
182,в,O,,,
183,систему,B-TERM,,,Q58778:183
184,.,O,,,
