id,token,tag,nested_1,nested_2,wiki_id
0,Использование,O,,,
1,горизонтально,B-TERM,,,
2,масштабируемой,I-TERM,,,
3,инфраструктуры,I-TERM,,,
4,при,O,,,
5,поиске,B-TERM,,,
6,сходства,I-TERM,,,
7,в,O,,,
8,геномных,B-TERM,B-TERM,,
9,данных,I-TERM,I-TERM,,
10,экосистем,I-TERM,B-TERM,,Q37813:10
11,Рассмотрена,O,,,
12,проблема,O,,,
13,выявления,O,,,
14,генетического,B-TERM,,,
15,сходства,I-TERM,,,
16,при,O,,,
17,анализе,B-TERM,,,
18,баз,I-TERM,B-TERM,,"Q8513:18,19"
19,данных,I-TERM,I-TERM,,
20,(,O,,,
21,БД,B-TERM,,,Q8513:21
22,),O,,,
23,геномов,B-TERM,B-TERM,,"Q7020:23,24"
24,организмов,I-TERM,B-TERM,,
25,.,O,,,
26,Такая,O,,,
27,проблема,O,,,
28,возникает,O,,,
29,с,O,,,
30,развитием,O,,,
31,методов,B-TERM,B-TERM,,
32,метагеномики,I-TERM,B-TERM,,Q903778:32
33,",",O,,,
34,сравнительной,B-TERM,,,
35,геномики,I-TERM,,,
36,",",O,,,
37,технологий,B-TERM,,,
38,высокопроизводительного,I-TERM,,,
39,секвенирования,I-TERM,B-TERM,,"Q1764062:39,40"
40,ДНК,I-TERM,I-TERM,,
41,",",O,,,
42,а,O,,,
43,также,O,,,
44,инструментов,B-TERM,,,
45,оценки,I-TERM,,,
46,и,O,,,
47,прогнозирования,B-TERM,,,
48,состояния,I-TERM,,,
49,экосистем,I-TERM,B-TERM,,Q37813:49
50,.,O,,,
51,Для,O,,,
52,быстрого,O,,,
53,сравнения,B-TERM,,,
54,геномов,I-TERM,B-TERM,,Q7020:54
55,с,O,,,
56,целью,O,,,
57,выявления,O,,,
58,повторяющихся,O,,,
59,наборов,B-TERM,,,
60,нуклеотидов,I-TERM,B-TERM,,Q28745:60
61,разработана,O,,,
62,специализированная,O,,,
63,компьютерная,B-TERM,,,"Q13407144:63,64"
64,система,I-TERM,,,
65,.,O,,,
66,Из,O,,,
67,-,O,,,
68,за,O,,,
69,большого,O,,,
70,объема,O,,,
71,данных,O,,,
72,",",O,,,
73,возникающих,O,,,
74,при,O,,,
75,обработке,O,,,
76,исходной,B-TERM,,,
77,информации,I-TERM,,,
78,",",O,,,
79,осуществлен,O,,,
80,переход,O,,,
81,к,O,,,
82,нереляционным,B-TERM,,,
83,БД,I-TERM,B-TERM,,Q8513:83
84,",",O,,,
85,как,O,,,
86,к,O,,,
87,более,O,,,
88,гибким,O,,,
89,и,O,,,
90,масштабируемым,O,,,
91,.,O,,,
92,В,O,,,
93,качестве,O,,,
94,основы,O,,,
95,подхода,O,,,
96,использованы,O,,,
97,распределенная,B-TERM,,,
98,нереляционная,I-TERM,B-TERM,,
99,БД,I-TERM,I-TERM,B-TERM,
100,MongoDB,I-TERM,B-TERM,,Q1165204:100
101,и,O,,,
