id,token,tag,nested_1,nested_2,wiki_id
0,Разработка,O,,,
1,среды,B-TERM,,,"Q13741:1,2"
2,программирования,I-TERM,,,
3,для,O,,,
4,мобильных,B-TERM,,,"Q5082128:4,5"
5,устройств,I-TERM,,,
6,под,O,,,
7,управлением,O,,,
8,операционной,B-TERM,,,"Q94:8,9,10"
9,системы,I-TERM,,,
10,Android,I-TERM,B-TERM,,
11,Мобильные,B-TERM,,,"Q5082128:11,12"
12,устройства,I-TERM,,,
13,часто,O,,,
14,используются,O,,,
15,для,O,,,
16,образовательных,B-TERM,,,
17,целей,I-TERM,,,
18,",",O,,,
19,учитывая,O,,,
20,их,O,,,
21,высокую,O,,,
22,доступность,B-TERM,,,
23,и,O,,,
24,портативность,B-TERM,,,
25,.,O,,,
26,Однако,O,,,
27,образовательные,B-TERM,,,
28,возможности,I-TERM,,,
29,мобильных,I-TERM,B-TERM,,"Q5082128:29,30"
30,устройств,I-TERM,I-TERM,,
31,ограничены,O,,,
32,из,O,,,
33,-,O,,,
34,за,O,,,
35,отсутствия,O,,,
36,качественных,O,,,
37,IDE,B-TERM,,,Q13741:37
38,.,O,,,
39,Большинство,O,,,
40,сред,B-TERM,,,"Q13741:40,41"
41,разработки,I-TERM,,,
42,языка,B-TERM,,,"Q2407:42,43,44"
43,C,I-TERM,B-TERM,,
44,++,I-TERM,I-TERM,,
45,для,O,,,
46,Android,B-TERM,,,Q94:46
47,не,O,,,
48,имеют,O,,,
49,автодополнения,B-TERM,,,Q749875:49
50,и,O,,,
51,анализа,B-TERM,,,"Q1329550:51,52"
52,кода,I-TERM,,,
53,",",O,,,
54,в,O,,,
55,то,O,,,
56,время,O,,,
57,как,O,,,
58,остальные,O,,,
59,предоставляют,O,,,
60,эти,O,,,
61,возможности,O,,,
62,с,O,,,
63,крайне,O,,,
64,низкой,O,,,
65,производительностью,B-TERM,,,P7256:65
66,.,O,,,
67,В,O,,,
68,этой,O,,,
69,работе,O,,,
70,мы,O,,,
71,описываем,O,,,
72,технологию,B-TERM,,,
73,переноса,I-TERM,,,
74,программного,I-TERM,B-TERM,,"Q7397:74,75"
75,обеспечения,I-TERM,I-TERM,,
76,",",O,,,
77,примененную,O,,,
78,к,O,,,
79,компилятору,B-TERM,B-TERM,,"Q864915:79,80"
80,Clang,I-TERM,B-TERM,,
81,(,O,,,
82,и,O,,,
83,другим,O,,,
84,необходимым,O,,,
85,инструментам,O,,,
86,),O,,,
87,и,O,,,
88,предлагаем,O,,,
89,метод,B-TERM,B-TERM,,Q1799072:89
90,ускорения,I-TERM,,,
91,компиляции,I-TERM,B-TERM,,Q56248166:91
92,",",O,,,
93,автодополнения,B-TERM,,,Q749875:93
94,и,O,,,
95,анализа,B-TERM,,,"Q1329550:95,96"
96,кода,I-TERM,,,
97,в,O,,,
98,нашей,O,,,
99,IDE,B-TERM,,,Q13741:99
100,.,O,,,
101,Наряду,O,,,
102,с,O,,,
103,этим,O,,,
104,",",O,,,
105,мы,O,,,
106,предлагаем,O,,,
107,методы,B-TERM,B-TERM,B-TERM,
108,оптимизации,I-TERM,I-TERM,,
109,пользовательского,I-TERM,B-TERM,,"Q47146:109,110"
110,интерфейса,I-TERM,I-TERM,,
111,.,O,,,
112,В,O,,,
113,работе,O,,,
114,описан,O,,,
115,основанный,O,,,
116,на,O,,,
117,регулярных,B-TERM,,,"Q185612:117,188"
118,выражениях,I-TERM,,,
119,эвристический,B-TERM,,,
120,метод,I-TERM,B-TERM,,Q1799072:120
121,для,O,,,
122,генерации,B-TERM,,,
123,предкомпилированных,I-TERM,,,
124,заголовков,I-TERM,,,
125,",",O,,,
126,который,O,,,
127,имеет,O,,,
128,низкие,O,,,
129,требования,B-TERM,,,
130,к,O,,,
131,процессору,B-TERM,,,Q1466064:131
132,и,O,,,
133,ОЗУ,B-TERM,,,Q11140433:133
134,.,O,,,
135,Эффективность,B-TERM,B-TERM,,Q1034411:135
136,метода,I-TERM,B-TERM,,Q1799072:136
137,проверена,O,,,
138,на,O,,,
139,различных,O,,,
140,образовательных,B-TERM,,,
141,примерах,I-TERM,,,
142,.,O,,,
